eog,emg
-8,-14
-9,23
-7,-26
-6,9
-7,8
-8,0
-7,2
-6,-29
-5,28
-4,-7
-3,-12
-3,26
-4,-33
-5,2
-6,3
-7,-5
-7,5
-6,-30
-4,26
-1,3
2,3
3,44
3,-19
1,10
-2,14
-4,7
-4,14
-6,-26
-7,18
-7,-10
-6,-10
-4,30
-2,-30
-1,-11
-2,-7
-3,3
-3,19
-4,-11
-3,25
-2,-35
0,-76
3,-75
7,-146
10,-97
10,-18
7,106
2,214
-2,188
-4,160
-3,33
-1,-24
3,-13
6,-89
8,-63
9,-57
9,-44
9,-12
8,-32
7,19
4,-20
2,-18
0,38
0,-11
2,13
2,7
2,-2
1,13
-1,-17
-2,26
-3,-10
-3,-13
-3,29
-2,-21
-1,4
-2,-3
-4,-10
-4,-2
-3,-25
-2,28
0,-10
1,-15
1,22
2,-26
3,9
4,5
6,0
8,3
9,-27
9,29
10,-8
10,-12
9,21
9,-34
9,4
8,5
7,0
7,5
7,-31
8,22
9,-7
8,-8
6,33
6,-26
7,7
8,16
9,17
10,29
10,-3
11,42
12,16
11,19
11,55
10,-6
7,13
4,10
2,9
3,8
2,-30
1,8
1,-31
2,-25
2,18
2,-36
3,-14
3,-22
3,-14
2,1
0,-30
-1,19
-2,-23
-2,-17
-3,31
-3,-22
-2,5
-1,-6
-1,-3
0,18
0,-15
0,27
1,-18
1,-18
1,32
3,-18
5,8
5,1
5,-5
5,9
4,-17
4,29
6,-12
7,-21
8,21
7,-21
6,11
4,4
2,-4
2,2
3,-19
5,32
7,-10
7,-12
7,26
6,-20
4,14
2,6
3,1
5,1
7,-27
9,32
11,-5
12,-9
11,21
11,-35
9,5
6,5
4,1
2,7
1,-28
2,24
5,-9
8,-8
10,33
10,-27
8,0
5,2
3,4
2,11
1,-26
0,19
1,-9
3,-4
4,32
5,-23
7,-2
7,-3
8,3
7,9
4,-23
3,19
2,-19
2,-8
2,33
3,-20
4,-1
2,-9
1,4
0,15
-1,-16
-2,28
-2,-17
-2,-9
-2,34
0,-21
2,5
3,-7
2,-3
1,15
0,-15
0,28
-1,-21
-1,-20
0,30
4,-18
6,9
6,-1
4,-7
1,7
-1,-16
-1,30
1,-14
2,-20
2,25
3,-14
3,13
2,3
1,0
1,6
3,-17
5,28
8,-17
9,-16
10,21
11,-23
10,10
9,1
8,0
7,-1
5,-27
4,30
5,-11
7,-9
9,24
10,-28
10,8
8,-1
6,-1
5,3
5,-32
6,29
7,1
7,4
6,42
5,-15
3,14
1,13
0,12
0,10
0,-28
2,16
5,-19
7,-15
8,22
9,-28
9,-3
8,0
6,15
6,22
