eog,emg
-9,-125
-10,80
-11,46
-13,-39
-14,-8
-13,12
-12,58
-12,58
-14,32
-13,-92
-12,-112
-10,63
-7,33
-4,-40
-3,-17
-2,2
0,53
1,62
0,45
-1,-86
-3,-112
-4,62
-4,25
-3,-50
-4,-15
-4,8
-4,51
-5,60
-5,46
-4,-84
-4,-109
-4,61
-2,22
0,-50
1,-12
3,11
4,53
3,65
2,51
3,-71
3,-99
3,52
3,11
3,-60
2,-14
1,15
0,47
0,57
0,45
1,-76
2,-96
3,67
3,29
3,-50
1,-14
0,14
-1,43
-1,50
0,36
3,-86
4,-96
5,71
5,38
6,-44
5,-22
5,6
5,40
4,51
5,37
8,-92
11,-98
12,78
12,46
11,-40
8,-23
6,8
6,46
6,58
7,39
10,-96
11,-101
11,74
11,42
10,-39
6,-36
4,-15
5,35
6,57
8,46
10,-89
11,-99
11,78
11,44
9,-37
6,-31
5,-12
5,39
5,64
6,56
9,-83
12,-97
13,78
14,41
12,-42
9,-34
7,-16
6,35
5,62
3,55
3,-69
1,-86
-1,61
-3,18
-4,-56
-4,-34
-3,-4
0,46
2,73
3,63
5,-68
5,-87
4,64
4,15
5,-65
5,-36
7,-6
10,39
11,64
10,57
10,-74
9,-90
7,73
4,22
2,-61
0,-29
0,7
0,63
-1,75
-3,46
-4,-88
-5,-99
-6,78
-6,26
-6,-64
-7,-34
-6,-2
-5,56
-6,70
-4,46
2,-86
11,-98
21,80
31,35
37,-55
38,-34
31,0
19,62
6,77
-2,50
-6,-90
-8,-103
-10,79
-12,36
-14,-52
-16,-41
-15,-19
-12,46
-11,69
-10,52
-9,-87
-9,-103
-8,75
-6,28
-4,-58
-3,-40
-2,-17
-1,43
-2,71
-3,60
-3,-77
-3,-96
-3,74
-2,25
1,-56
2,-28
3,-3
4,50
3,72
3,58
5,-68
6,-86
6,67
7,14
8,-68
8,-31
8,1
9,49
8,68
8,54
8,-71
7,-87
6,73
6,13
7,-72
8,-25
8,8
9,53
7,65
6,43
5,-77
5,-87
5,77
4,19
3,-71
2,-27
2,5
2,48
0,61
-3,40
-4,-82
-4,-91
-4,80
-3,24
-3,-66
-5,-22
-6,10
-6,51
-8,61
-9,40
-8,-80
-8,-87
-8,83
-7,27
-6,-63
-6,-30
-5,-4
-3,49
-3,65
-3,46
-2,-76
-3,-88
-4,79
-4,29
-5,-56
-6,-29
-6,-10
-4,39
-2,58
-2,44
-2,-77
-4,-88
-6,79
-6,22
-5,-66
-4,-26
-2,-1
0,43
1,63
1,50
2,-62
2,-78
1,68
2,6
3,-76
2,-21
2,9
2,42
0,61
-1,51
-1,-53
