eog,emg
3,0
2,1
-2,0
-1,0
-1,0
-5,0
-5,0
-2,0
-5,0
-8,1
-7,1
-8,1
-10,1
-7,0
-5,0
-7,0
-7,0
-4,0
-7,0
-9,0
-6,0
-6,0
-9,0
-7,0
-5,1
-8,0
-7,0
-4,0
-7,0
-9,0
-4,0
-3,1
-4,1
0,0
3,0
0,0
0,0
2,-1
-2,-1
-4,0
0,0
0,0
-3,0
0,-1
1,-1
-2,-1
-3,-1
-1,0
-4,0
-5,1
-2,1
-2,1
-3,1
1,1
3,0
0,0
1,0
3,1
0,2
-3,2
1,0
1,-1
0,-2
3,-2
5,-1
1,-2
1,-2
4,-1
2,-3
0,-3
3,-2
2,0
-1,1
3,2
7,2
5,1
6,0
8,0
5,0
3,0
6,-1
5,-1
2,-2
6,0
9,8
7,18
7,27
5,26
-3,10
-8,-12
-4,-30
-2,-38
-2,-33
3,-22
7,-8
7,3
8,9
10,10
7,9
6,8
9,7
10,6
7,6
10,5
11,3
6,1
5,0
6,0
3,-1
1,-1
4,-1
3,0
0,0
2,-1
3,-1
0,-1
1,0
5,0
5,1
6,1
11,0
10,-1
7,-1
10,0
11,0
8,0
9,0
13,0
11,0
9,0
13,0
12,0
9,0
11,0
12,0
9,1
8,1
10,1
7,1
5,0
8,0
6,0
3,-1
5,-1
6,0
2,1
2,1
4,1
1,1
-1,0
0,0
-2,-1
-6,-1
-4,-1
-2,0
-4,-1
-3,-1
0,-1
-3,-2
-4,-1
-2,-1
-3,0
-6,0
-4,0
-2,1
-4,1
-2,1
2,1
-1,1
-3,1
0,1
-1,1
-3,1
0,0
1,-1
-2,-2
-2,-1
0,-1
-3,-2
-5,-1
-3,-1
-4,0
-8,1
-6,1
-4,1
-7,0
-7,0
-5,0
-9,0
-12,0
-10,-1
-11,0
-13,1
-9,1
-6,1
-8,0
-8,-1
-6,-2
-10,-2
-13,-1
-10,0
-10,0
-11,0
-8,1
-6,1
-10,0
-10,0
-7,0
-10,0
-11,0
-8,0
-8,1
-11,1
-8,1
-5,0
-7,0
-5,0
-1,-1
-4,-1
-5,0
-2,0
-3,0
-5,-1
-2,-1
1,0
-1,0
-1,0
0,0
-4,-1
-6,0
-3,0
-3,0
-5,0
-2,1
0,0
-2,0
-3,-1
-2,-1
-8,-1
-11,-1
-8,-1
-8,1
-9,1
-4,1
-1,1
-4,1
-3,1
0,1
-4,1
-6,0
-2,0
-2,0
-5,0
-4,0
-4,0
-8,1
-9,2
-8,1
-11,-1
-12,-1
-8,-1
-7,-1
-9,-1
-7,-2
-6,-3
-10,-3
-9,-3
-6,-1
-9,0
-10,1
-6,1
-7,2
-9,1
-6,1
-5,1
-9,0
-9,0
-6,0
-7,1
-6,0
0,0
3,2
3,10
6,20
5,26
-5,20
-12,1
-14,-21
-17,-35
-16,-37
-10,-29
-7,-17
-7,-3
-2,8
1,12
-1,12
1,10
4,9
1,7
-2,5
0,3
-2,2
-4,2
-1,1
0,0
-4,-1
-4,-2
-2,-2
-4,-1
-4,0
0,1
-1,1
-3,1
0,-1
2,-1
-1,-1
1,-1
3,0
0,0
-2,0
-1,0
-2,0
-5,0
-2,1
1,1
0,1
2,1
4,0
1,0
-1,0
2,0
1,0
-2,-1
0,0
2,0
-1,-1
-1,-1
1,-1
-2,-1
-3,0
0,0
-1,1
-4,2
-1,2
1,2
-2,1
-2,0
1,-2
-2,-3
-4,-2
-1,-2
-2,-1
-5,-1
-3,-1
-1,0
-5,0
-5,1
-3,1
-6,1
-8,0
-5,1
-4,1
-6,1
-3,1
-1,0
-5,0
-5,-1
-3,-1
-5,0
-6,-1
-2,-1
-2,-1
-5,0
-3,0
-1,0
-2,1
2,2
6,1
5,2
5,2
9,1
9,0
6,-1
9,-1
11,-1
9,-2
9,-2
10,-1
6,-1
4,-1
6,-1
5,0
3,1
8,2
12,3
10,2
11,2
14,1
11,0
8,-1
9,-1
9,-1
9,-1
14,0
16,0
14,0
14,-1
15,-1
12,0
11,0
14,0
13,0
11,1
14,0
15,-1
12,0
12,0
15,0
11,0
9,0
13,1
13,1
12,1
16,1
18,1
15,1
16,0
17,-1
13,-1
11,-2
12,-2
10,-1
6,-1
8,-2
9,-1
5,0
4,1
7,1
5,1
3,1
6,1
5,1
2,1
5,1
8,1
7,1
9,1
12,1
9,1
7,1
9,0
7,-1
5,-2
8,-3
9,-3
5,-2
5,-2
6,-3
2,-3
-1,-3
1,-2
-1,-1
-4,0
-2,2
-1,3
-4,3
-5,3
-3,2
-6,2
-6,2
-2,2
-1,1
-3,0
0,-2
3,-2
2,1
4,9
6,20
0,25
-7,17
-9,-1
-12,-20
-13,-32
-8,-33
-4,-26
-5,-16
-2,-3
2,6
0,10
-3,10
-2,9
-5,8
-8,7
-4,6
-2,4
-5,3
-4,1
-1,0
-2,1
-2,0
2,-1
1,-1
-1,0
2,-1
4,-1
2,0
3,0
6,1
4,0
2,-1
5,0
3,-1
-1,-1
1,-1
2,-1
-1,-1
1,0
4,1
3,2
2,1
5,1
3,1
0,0
2,0
4,-1
2,-1
2,0
5,0
3,0
2,0
6,0
5,0
2,-1
4,-1
6,0
3,1
4,0
6,1
4,1
1,0
3,0
2,0
-1,-1
1,-2
3,-2
-1,-2
0,-1
2,0
-1,0
-2,1
2,1
2,1
1,1
5,0
6,0
3,0
4,1
6,1
3,0
1,0
4,1
4,0
1,0
3,-1
3,0
0,1
1,1
4,0
1,0
-2,0
-1,0
-2,-1
-5,0
-2,0
0,1
-2,0
0,0
4,1
1,0
-2,-1
0,-1
-3,-1
-7,-1
-5,-1
-3,-1
-6,-1
-5,-1
-2,-1
-5,0
-7,1
-5,1
-6,1
-8,1
-4,1
-1,1
-3,0
-2,0
0,-1
-3,-1
-5,-1
-2,0
-2,1
-4,2
0,1
3,1
1,1
1,0
3,0
-1,-1
-3,-1
-1,-1
-2,-1
-5,0
-2,1
0,1
-3,0
-2,0
2,0
0,0
-1,0
1,1
0,1
-3,0
0,0
2,0
-1,0
-2,-1
-1,-1
-5,0
-8,-1
-5,-1
-7,-1
-11,0
-9,0
-8,1
-11,1
-11,0
-9,1
-12,0
-13,0
-10,0
-11,1
-14,2
-12,3
-10,3
-13,2
-11,0
-8,-2
-9,-2
-10,-1
-6,-2
-8,-3
-12,-3
-10,-3
-9,-3
-11,-2
-10,0
-7,1
-9,1
-10,1
-6,2
-7,1
-9,1
-6,1
-3,2
-4,1
-3,0
0,-1
-3,-2
-5,1
-1,8
-2,18
-6,24
-7,20
-11,3
-17,-17
-15,-31
-11,-35
-11,-29
-9,-17
-4,-4
-2,6
-3,10
1,10
3,10
0,9
1,7
4,6
2,5
2,4
5,2
4,1
2,0
4,-1
5,-2
2,-2
4,-2
7,-1
4,-1
3,-1
6,0
5,-1
3,-1
6,0
8,1
6,1
7,1
9,0
5,0
4,1
7,0
6,0
5,0
8,0
11,1
7,1
7,-1
9,-1
6,0
5,0
8,0
7,0
4,0
6,-1
7,-1
3,-1
3,0
6,1
5,0
4,0
6,1
5,1
3,0
6,0
7,0
4,0
5,-1
7,-1
3,-2
0,-2
2,-2
-1,-2
-5,-1
-3,0
-2,1
-5,1
-4,1
-1,2
-2,2
-3,1
-1,1
-2,0
-5,0
-3,0
-1,1
-4,0
-4,0
-1,0
-4,0
-6,0
-3,0
-5,0
-8,-1
-5,0
-2,0
-5,0
-3,0
0,0
-2,0
-3,0
-1,0
-2,0
-4,0
-2,0
0,-1
-3,-1
-2,-1
1,0
-3,0
-5,0
-2,0
-2,0
-5,0
-2,1
1,1
-1,1
2,1
6,1
3,0
1,1
4,1
3,0
0,-1
2,-2
3,-1
1,-1
2,-1
4,-1
1,-1
0,0
4,1
3,2
-1,2
0,1
0,1
-4,0
-5,-1
-4,-1
-9,0
-11,0
-8,0
-9,0
-11,0
-7,1
-4,1
-5,0
-2,0
2,0
0,0
-1,-1
2,-1
0,-1
-3,-1
-1,-1
1,-1
-3,0
-2,1
0,1
-2,1
-3,1
0,1
-1,1
-4,0
-1,0
1,0
-2,-1
-1,0
2,0
-1,0
-2,0
1,0
1,1
-2,2
-1,1
0,0
-2,-1
-1,-2
2,-1
-1,-2
-3,-2
0,-2
0,-2
-1,-1
3,-1
6,0
4,1
5,1
7,1
2,0
-1,0
2,0
0,0
-3,0
-1,0
2,0
0,0
2,-1
6,0
5,7
4,17
6,25
2,26
-5,12
-5,-10
-5,-28
-8,-38
-7,-35
-4,-23
-5,-10
-3,2
2,8
2,10
0,10
4,10
6,8
4,7
5,5
8,4
6,2
5,2
9,1
8,-1
5,-2
6,-2
7,-1
3,0
3,0
6,0
3,0
1,0
3,-1
0,-1
-4,-1
-3,0
-4,1
-8,2
-7,2
-4,2
-7,1
-8,1
-4,1
-4,1
-4,1
1,1
4,0
3,-1
5,-1
8,-1
6,-1
5,-1
8,-1
6,-1
3,-2
5,-2
5,-1
2,-1
2,-1
3,0
0,1
-2,3
2,3
0,3
-4,2
-3,0
-2,-1
-5,-1
-4,0
0,-1
-2,-1
-2,-1
2,-1
0,-2
-5,-2
-3,-2
-2,-1
-5,0
-4,0
-2,0
-6,0
-9,0
-8,-1
-11,0
-15,0
-14,1
-13,2
-15,3
-12,3
-7,2
-8,2
-7,2
-2,1
-2,0
-5,-1
-2,0
-1,0
-5,-1
-4,-1
-1,-2
-4,-2
-6,-2
-4,-1
-6,-1
-10,-1
-8,-1
-7,0
-8,1
-5,1
-1,1
-3,0
-4,0
-2,1
-4,1
-8,1
-6,1
-6,1
-9,1
-7,0
-3,0
-4,0
-4,1
1,1
3,0
2,-1
5,-1
7,-1
5,-1
7,-1
11,-1
9,-1
9,0
12,0
11,0
8,0
10,0
11,-1
7,-1
7,0
9,1
5,1
3,0
6,1
4,1
0,0
2,0
3,0
0,1
2,1
6,1
4,0
4,-1
8,-1
7,1
5,1
8,0
9,0
5,-1
5,0
9,0
7,-1
5,-1
6,-1
3,-1
0,0
2,0
3,1
1,1
4,1
10,1
9,2
8,2
10,1
9,1
7,0
10,0
11,0
8,0
9,0
11,1
7,0
5,-2
8,-2
7,-2
4,-2
6,-2
6,-3
2,-2
2,-2
4,-2
0,-1
-2,2
1,3
0,3
-3,2
0,1
2,2
0,2
1,2
4,1
1,0
0,-2
3,-4
3,-5
1,0
4,9
5,21
0,28
-4,23
-6,4
-13,-18
-15,-33
-11,-37
-11,-30
-11,-18
-5,-4
-1,7
-2,10
0,10
4,10
2,8
1,6
4,5
3,4
0,3
3,2
4,2
1,2
2,1
5,0
2,-1
1,-1
3,-1
0,-1
-3,-1
1,0
3,0
0,0
1,0
4,0
1,0
0,0
2,0
-1,0
-4,0
-1,0
0,0
-2,0
0,0
4,0
2,0
1,1
4,1
3,0
0,0
3,0
4,0
1,-1
1,0
3,1
1,1
1,0
4,0
3,0
-1,0
1,1
2,0
-1,0
-2,0
-1,-1
-5,-1
-7,-1
-3,-1
-4,-1
-7,-1
-5,0
-3,0
-6,0
-6,0
-3,0
-7,1
-8,1
-5,0
-7,0
-11,0
-9,0
-8,0
-11,1
-9,0
-6,0
-9,0
-9,0
-5,0
-6,0
-9,0
-6,0
-4,0
-7,0
-5,0
-2,-1
-4,-2
-6,-1
-3,0
-5,0
-7,0
-4,0
-4,1
-7,0
-7,0
-5,1
-8,1
-10,1
-7,0
-9,0
-12,0
-9,0
-7,0
-10,1
-9,1
-6,1
-7,0
-8,-1
-6,-1
-9,-1
-13,-1
-12,-1
-10,-1
-13,-1
-11,-1
-8,0
-11,0
-12,0
-10,1
-12,1
-15,1
-12,1
-11,1
-14,0
-12,0
-9,0
-11,0
-12,0
-8,0
-9,-1
-12,-1
-9,0
-7,0
-9,1
-7,0
-2,0
-4,1
-5,1
-1,0
-2,0
-5,0
-2,0
-1,0
-4,0
-3,-1
-1,-1
-4,-1
-5,-1
-3,-1
-6,-1
-10,0
-8,0
-7,1
-9,1
-7,1
-3,1
-5,1
-6,0
-3,0
-4,1
-7,1
-4,2
-3,1
-5,-1
-4,-1
-1,-1
-5,0
-5,1
-2,2
-2,2
-4,0
-1,-2
0,-3
-5,-2
-4,-1
-1,-1
-2,-1
-3,-2
0,-2
-2,-1
-5,0
-2,1
-1,1
-5,0
-5,1
-1,1
-4,0
-5,0
-2,1
-2,2
-3,1
0,-1
1,-2
-1,-2
2,3
6,13
3,23
0,29
-1,19
-8,-3
-14,-24
-12,-38
-11,-38
-13,-29
-10,-15
-4,-1
-5,8
-5,11
-1,11
-2,11
-5,9
-2,7
-1,6
-3,4
-2,2
1,1
-1,0
0,0
4,0
4,-1
1,-1
3,-1
3,-1
-1,-1
0,0
4,1
2,1
2,0
5,1
4,1
2,0
5,-1
6,-1
1,-2
1,-2
3,-1
0,0
-2,0
1,0
-1,-1
-5,0
-4,1
-3,1
-5,1
-2,1
3,2
1,2
1,1
4,0
3,0
0,-1
2,-1
3,-1
0,-2
0,-2
2,-1
-1,0
-4,0
-3,-1
-5,-1
-7,0
-4,0
