eog,emg
43,1
40,2
39,1
38,4
39,3
46,-3
54,-7
54,-7
49,3
46,7
45,4
45,-1
49,-5
50,-1
48,4
44,1
44,-3
48,-1
56,-3
64,2
67,9
64,4
59,-1
50,-3
41,-4
37,0
36,1
35,-2
39,4
50,2
59,-10
60,-5
58,7
57,6
58,1
61,-1
60,-3
57,-5
55,-2
58,-2
61,-2
61,2
61,3
59,4
57,4
57,0
57,2
56,4
57,-6
60,-4
58,1
53,0
51,2
50,0
47,2
47,-2
49,-4
50,1
49,1
50,1
51,3
48,0
44,0
43,1
44,-1
47,-3
51,-6
52,-6
52,5
52,6
54,0
56,2
56,1
54,-3
52,1
54,3
57,2
58,4
58,-2
54,-7
49,1
48,2
53,1
55,1
51,-9
47,-4
48,7
51,3
54,0
56,4
55,2
52,-8
53,-2
58,4
60,0
57,1
54,-1
52,-3
54,5
58,6
57,-3
54,-5
51,-6
48,-7
44,4
43,7
44,3
45,5
50,0
55,-7
53,0
49,3
50,0
52,0
50,3
50,1
52,-6
55,-4
58,-3
59,1
56,4
52,-4
49,-2
49,8
53,6
57,-2
59,1
56,1
53,-2
50,1
47,-1
45,-1
44,2
45,-2
48,0
52,7
52,-3
49,-12
48,-1
50,2
50,3
49,4
46,-3
44,2
44,2
46,-8
45,-2
40,9
37,11
38,1
38,-7
39,-6
42,-3
45,-2
46,-4
48,0
49,6
45,4
45,3
49,3
52,1
52,3
52,-2
53,-12
53,-9
49,1
47,8
50,4
53,-2
52,-1
49,4
49,6
51,3
51,-1
48,-5
46,-6
45,-8
45,0
48,10
51,5
52,-1
54,-2
58,-2
61,4
61,0
59,-3
56,5
51,1
48,-8
51,-8
55,-1
54,6
51,6
47,1
45,-3
47,-2
48,0
46,0
45,-2
48,1
52,10
54,1
57,-11
60,0
62,2
61,2
56,0
46,-11
37,0
34,10
33,1
36,1
42,-1
50,-5
52,1
49,4
46,0
46,3
48,3
47,-8
42,-10
37,1
34,4
32,1
32,-2
33,-1
36,2
38,4
39,6
39,4
37,-1
36,-7
37,-8
38,3
36,4
35,-2
38,2
41,2
42,-1
41,6
43,3
47,-10
49,-6
47,-1
42,0
38,8
38,2
37,-6
34,-5
33,-2
33,7
33,10
32,1
32,-4
32,3
33,0
33,-4
32,1
32,0
33,-2
34,-4
33,-6
32,7
30,9
27,-9
25,-9
25,0
23,2
19,7
18,3
18,1
17,2
16,-6
15,-6
12,3
9,6
10,0
12,-1
11,3
8,-2
7,-7
9,2
11,4
9,1
6,-2
5,-9
6,-1
6,8
3,3
-1,-1
-5,0
-8,-1
-8,1
-7,7
-6,3
-3,0
-2,-7
-3,-11
-4,2
-3,6
-1,0
3,0
5,3
3,-1
1,-4
4,0
6,3
3,3
1,-6
1,-6
1,6
1,5
2,-2
2,0
0,2
-2,0
-3,-3
-4,-1
-3,4
-3,2
-4,-1
-4,-1
-2,-5
-4,-4
-10,4
-12,5
-12,0
-14,-4
-15,-2
-14,3
-13,4
-14,1
-15,3
-15,-1
-15,-7
-13,1
-13,6
-15,-2
-17,-2
-19,-2
-19,0
-16,5
-14,-1
-17,2
-22,1
-22,-7
-17,-2
-14,4
-17,5
-21,3
-24,3
-25,-2
-23,-11
-23,-7
-27,3
-29,5
-28,3
-25,0
-23,6
-23,5
-23,-9
-22,-9
-21,1
-24,3
-30,3
-32,5
-29,4
-28,-1
-29,-4
-30,-8
-30,-3
-31,6
-33,3
-36,2
-39,0
-40,-4
-40,1
-42,0
-42,-4
-38,-1
-37,0
-39,-1
-39,2
-38,5
-37,2
-36,-1
-34,-4
-33,-1
-33,4
-36,2
-39,-2
-37,-2
-29,-1
-23,-2
-20,2
-21,7
-27,2
-37,-1
-46,-4
-52,-5
-54,3
-54,2
-54,-4
-53,-4
-49,1
-41,1
-36,0
-36,2
-36,-1
-36,2
-36,-1
-36,-4
-36,7
-37,6
-41,-4
-44,-1
-44,-2
-41,1
-40,5
-41,-1
-45,-2
-48,-3
-47,-7
-45,0
-47,7
-48,4
-48,2
-50,-1
-50,-8
-48,-3
-46,6
-47,2
-47,0
-46,0
-45,-1
-45,3
-46,-3
-46,-5
-49,2
-50,2
-52,-1
-52,2
-48,6
-49,1
-54,-7
-58,-7
-58,2
-54,7
-49,2
-45,-3
-42,3
-43,-1
-46,-9
-49,-3
-50,4
-50,6
-50,3
-50,-2
-52,-3
-55,1
-58,0
-58,-5
-55,4
-54,4
-56,-3
-57,1
-59,0
-61,2
-63,5
-63,-3
-62,-6
-61,-4
-60,-4
-58,4
-56,10
-57,7
-59,1
-59,-8
-59,-7
-60,-4
-60,-2
-61,4
-61,2
-61,4
-60,8
-59,-4
-57,-9
-59,-2
-62,2
-63,4
-59,-2
-54,-2
-54,7
-56,5
-56,-3
-57,-6
-59,-3
-59,0
-57,-1
-56,0
-56,3
-57,4
-59,6
-61,-3
-61,-11
-59,-2
-60,5
-60,2
-60,-3
-60,-4
-61,5
-61,7
-59,0
-58,-1
-60,0
-60,-1
-58,-1
-58,-1
-60,-1
-59,1
-57,3
-56,2
-53,-2
-50,-6
-49,-1
-47,5
-44,3
-44,0
-46,0
-48,-3
-49,-5
-47,-3
-43,1
-43,5
-45,2
-46,1
-44,2
-43,2
-40,-5
-38,-6
-38,4
-41,5
-41,-1
-42,-3
-42,-2
-40,3
-39,5
-41,-3
-41,-7
-38,-1
-36,0
-37,1
-37,6
-37,3
-36,4
-34,2
-32,-10
-33,-11
-34,3
-34,8
-36,1
-37,-2
-38,-2
-39,0
-38,4
-36,-3
-35,-3
-35,3
-33,3
-30,-2
-29,-5
-31,1
-32,5
-33,4
-33,0
-31,-4
-30,-1
-32,1
-35,-3
-34,-1
-31,4
-28,1
-27,0
-27,-1
-28,-3
-26,-2
-24,-3
-23,2
-23,6
-22,2
-22,-1
-24,-2
-26,-4
-27,1
-26,6
-23,2
-21,-3
-21,-6
-22,-4
-25,0
-26,4
-25,9
-23,3
-22,-5
-20,-2
-15,2
-11,-1
-10,-5
-13,2
-16,4
-21,2
-28,1
-33,-3
-32,-3
-29,-7
-26,-3
-22,8
-15,3
-7,-1
-3,1
-4,-1
-6,2
-7,5
-7,-3
-7,-4
-5,0
-4,-1
-4,1
-5,0
-6,-1
-7,1
-4,2
-1,1
0,-1
0,0
1,-2
2,-1
5,2
7,1
5,-1
2,0
4,2
10,2
12,-2
11,-7
12,-6
14,2
11,4
10,3
12,4
13,2
12,2
13,-3
15,-3
16,0
18,-3
21,0
21,3
18,-2
15,1
14,3
15,-2
19,-1
22,-2
24,-5
25,3
24,4
21,-4
20,-1
22,4
24,4
22,0
19,-4
19,2
23,4
25,-3
25,-4
25,-1
24,2
24,2
23,-3
22,2
23,6
27,2
27,-4
25,-8
24,-3
23,3
24,3
27,5
27,1
26,-3
27,-4
30,-3
28,0
26,-1
25,4
26,7
27,1
26,-1
24,-3
27,-4
32,-3
32,2
27,7
27,0
28,-3
28,3
25,4
23,-3
23,-9
27,-1
31,7
30,2
26,0
25,0
29,-3
32,-2
31,-3
29,0
28,6
30,2
34,-2
36,0
35,1
35,-2
34,-5
32,-2
31,2
31,4
33,0
36,-1
40,3
41,2
40,-3
39,-2
37,-2
32,-3
30,2
31,4
32,1
35,-2
39,-1
40,-1
38,1
38,3
41,-1
44,-2
46,-4
48,0
47,3
44,-2
44,-3
45,4
45,3
45,-1
45,2
44,2
43,0
45,0
44,-8
42,-1
46,7
51,-4
49,-2
45,0
42,-2
42,4
45,-2
48,-5
48,3
44,4
42,4
41,1
40,-4
44,-3
47,1
46,4
44,5
44,1
43,-5
44,-2
48,-2
49,-3
46,1
47,0
49,2
48,4
47,1
46,1
47,-2
48,-7
52,-6
56,0
57,3
55,3
52,3
51,2
52,1
55,-2
55,-4
53,2
52,4
50,-1
48,-1
49,1
48,1
44,-1
42,3
44,2
45,-6
45,-5
44,-2
43,2
44,2
46,-1
47,7
46,6
46,-6
46,-9
43,-3
41,0
43,-2
43,3
40,11
37,6
38,-6
39,-7
42,-1
46,3
52,-2
56,-4
57,2
50,6
40,3
34,-3
29,-4
25,-1
26,1
32,0
39,-1
43,2
47,5
49,-3
49,-8
47,-2
45,2
42,3
41,-1
44,0
44,8
41,5
38,-6
38,-9
42,-3
45,1
46,2
43,-1
40,3
39,9
41,-1
44,-5
46,0
46,-3
43,0
41,5
40,1
40,1
42,-2
44,-4
42,1
40,-3
41,-4
42,3
43,3
43,-2
43,-2
40,2
39,1
41,-2
44,-2
45,2
45,8
45,5
45,-5
44,-6
43,0
42,0
44,-2
47,-2
48,0
45,8
42,7
41,-2
40,-4
39,-5
38,-7
38,-3
38,0
41,4
43,7
42,3
39,-4
38,-2
38,0
39,1
39,1
37,-6
35,-2
35,5
35,3
33,3
33,-1
35,-2
36,0
37,-1
38,1
37,3
37,-1
38,-3
36,-1
35,0
36,1
35,-1
33,-3
32,3
34,0
34,-2
33,4
31,3
32,2
36,-1
39,-5
