eog,emg
30,-8
32,-71
31,-40
27,69
26,-58
29,41
33,51
35,-83
36,52
35,41
36,-8
40,-59
45,-27
48,68
50,-63
50,20
45,35
39,-62
37,70
40,44
45,-12
47,-79
43,-34
36,81
35,-50
40,44
40,43
38,-100
40,41
41,43
37,-10
30,-77
28,-43
32,71
34,-32
33,56
31,39
29,-81
27,54
24,36
22,-15
23,-80
23,-29
22,66
22,-74
23,23
23,25
20,-70
19,82
22,79
25,27
23,-77
17,-48
13,58
14,-69
19,27
18,28
7,-63
-4,96
-10,80
-10,15
-7,-85
-3,-72
1,25
5,-93
9,17
7,28
1,-78
-2,74
2,78
6,30
4,-55
-3,-20
-7,59
-4,-104
3,18
4,46
3,-66
7,75
13,59
13,21
11,-60
11,-44
10,45
9,-96
13,23
15,42
13,-73
11,70
9,57
6,31
3,-48
4,-74
8,16
11,-77
13,40
16,55
16,-61
16,72
15,73
11,29
10,-66
11,-70
13,16
16,-84
20,38
20,57
16,-59
11,67
7,72
6,-2
8,-109
10,-58
10,40
6,-59
3,64
3,62
7,-48
13,79
16,67
14,-14
12,-117
13,-60
14,43
15,-61
18,55
19,54
16,-53
13,71
11,74
8,-2
8,-135
10,-81
9,50
6,-45
2,61
3,54
6,-39
11,92
14,69
15,-14
17,-122
21,-75
19,35
14,-58
11,58
10,69
10,-16
12,79
12,29
10,-28
11,-123
12,-79
13,29
14,-60
15,80
14,91
12,-18
12,63
13,6
13,-43
11,-114
7,-55
3,58
0,-40
-1,90
1,91
1,-58
-1,27
-6,20
-6,-25
-5,-96
-5,-33
-6,64
-6,-43
-4,86
-6,92
-8,-83
-6,-6
-2,26
1,-12
2,-92
1,-42
0,67
0,-7
-3,105
-11,82
-18,-89
-22,-18
-25,2
-23,-26
-15,-100
-8,-51
-8,67
-12,1
-10,109
-6,81
-3,-102
-4,-27
-3,15
1,-2
4,-78
4,-50
5,59
7,4
8,98
7,71
3,-90
-1,-17
-2,23
-1,-4
1,-80
2,-42
3,74
5,21
7,85
8,39
11,-112
16,-33
19,17
15,-4
10,-78
13,-25
14,50
14,-33
19,78
28,56
36,-83
40,4
41,36
44,6
52,-76
60,-16
63,60
65,-49
70,59
71,44
69,-87
65,4
61,35
65,30
74,-57
78,-16
75,73
73,-44
74,58
75,47
77,-88
76,5
75,34
73,35
72,-42
72,-9
69,65
62,-67
59,35
61,31
64,-97
63,0
60,25
56,32
53,-37
51,16
51,87
53,-76
52,21
50,20
47,-94
45,13
43,22
42,29
42,-37
41,-12
39,65
39,-52
39,49
37,35
31,-94
30,2
30,26
30,43
30,-33
29,-33
27,47
26,-52
29,55
31,44
30,-106
29,-7
28,46
23,29
19,-60
16,-32
15,44
16,-32
16,74
12,49
9,-76
11,12
14,37
14,0
12,-93
10,-37
8,41
4,-40
-1,83
-3,65
-3,-56
-3,18
-3,31
-3,4
-2,-94
0,-30
-1,67
-9,-31
-22,77
-31,60
-31,-66
-26,-8
-21,-13
-16,-26
-13,-98
-13,-27
-14,65
-14,-34
-11,90
-10,80
-10,-57
-11,3
-13,11
-16,-5
-18,-94
-17,-17
-15,79
-14,-38
-14,76
-16,69
-21,-39
-24,7
-26,-51
-29,-48
-31,-84
-31,2
-29,92
-27,-45
-20,78
-16,82
-17,-49
-19,-1
-19,-38
-20,-32
-25,-71
-29,13
-29,97
-25,-44
-19,76
-18,75
-22,-78
-26,-31
-26,-27
-27,-15
-26,-70
-24,0
-23,93
-23,-20
-23,92
-24,77
-25,-102
-25,-57
-26,-7
-30,1
-32,-64
-30,6
-28,92
-29,-13
-32,83
-33,56
-34,-104
-34,-59
-34,-26
-34,-5
-35,-50
-35,30
-32,109
-27,-15
-26,77
-28,50
-27,-106
-27,-62
-31,-37
-35,-4
-38,-41
-37,41
-35,118
-33,-23
-31,67
-29,46
-26,-113
-24,-69
-24,-37
-26,13
-28,-21
-29,42
-31,126
-32,-6
-32,50
-33,5
-36,-143
-39,-76
-40,-31
-38,15
-36,-19
-34,61
-33,123
-32,-32
-33,46
-33,11
-32,-110
-32,-37
-33,-21
-33,19
-33,-19
-34,66
-37,119
-38,-76
-36,16
-36,18
-38,-104
-41,-34
-41,-20
-39,30
-39,-3
-38,72
-39,118
-42,-93
-41,-2
-37,15
-35,-96
-35,-12
-34,6
-35,51
-39,12
-47,61
-54,95
-60,-95
-67,3
-74,18
-77,-95
-72,-34
-62,-26
-54,30
-52,-2
-52,68
-54,110
-56,-99
-57,0
-58,21
-56,-77
-51,-3
-47,-20
-45,28
-45,-8
-48,29
-52,82
-53,-84
-49,16
-47,32
-51,-73
-59,-10
-61,-15
-58,51
-54,8
-54,14
-55,48
-50,-117
-47,11
-49,43
-54,-74
-56,-3
-54,8
-51,32
-50,-27
-49,21
-51,66
-55,-77
-59,42
-58,57
-56,-57
-54,-9
-53,-4
-55,15
-53,-45
-49,19
-49,65
-53,-88
-54,37
-54,63
-55,-47
-55,-7
-49,-11
-41,15
-37,-49
-38,13
-40,66
-41,-86
-41,37
-43,60
-43,-44
-41,-12
-40,-23
-39,17
-39,-44
-39,28
-39,89
-37,-79
-34,24
-32,38
-31,-54
-30,1
-29,11
-29,28
-31,-67
-31,-3
-31,61
-32,-76
-30,49
-22,49
-16,-39
-22,2
-30,-30
-32,9
-32,-47
-33,25
-33,78
-32,-79
-28,51
-23,59
-21,-48
-20,-14
-17,-36
-16,6
-17,-47
-18,38
-19,87
-18,-94
-15,35
-14,55
-14,-80
-16,-42
-19,-25
-22,23
-26,-5
-27,69
-25,103
-27,-79
-28,22
-25,41
-24,-85
-23,-56
-22,-40
-21,36
-19,18
-20,69
-22,92
-25,-77
-27,22
-25,29
-20,-95
-19,-58
-22,-32
-24,42
-24,17
-25,85
-29,116
-32,-75
-37,5
-39,5
-36,-107
-31,-63
-26,-46
-21,21
-18,-4
-18,76
-17,114
-16,-72
-15,29
-15,39
-16,-88
-14,-54
-14,-26
-16,38
-19,-12
-20,60
-18,106
-14,-65
-12,5
-12,-17
-15,-93
-17,-29
-17,-6
-16,59
-12,-6
-9,69
-9,107
-10,-86
-9,-3
-8,-12
-5,-96
-3,-33
-6,8
-11,76
-14,-9
-14,65
-13,90
-13,-128
-15,-17
-18,11
-16,-66
-8,-13
-4,11
-6,85
-10,3
-11,56
-8,62
-10,-152
-14,-22
-14,3
-11,-66
-12,6
-15,24
-14,102
-11,13
-9,47
-8,59
-10,-157
-12,-31
-12,7
-9,-62
-2,3
3,18
2,92
-3,12
-9,49
-17,52
-18,-161
-12,-23
-7,33
-6,-33
-7,1
-9,-9
-13,74
-12,10
-10,53
-13,55
-18,-151
-18,-17
-11,12
-7,-46
-5,15
-6,13
-10,105
-12,24
-13,2
-13,-2
-10,-151
-5,3
-4,31
-4,-53
-4,1
-5,39
-9,91
-14,-24
-16,19
-17,26
-13,-147
-5,6
2,40
2,-26
2,12
5,29
3,81
-4,-43
-6,3
-5,27
-4,-124
-3,24
-1,19
-1,-53
1,7
3,56
1,103
-3,-69
-8,-10
-11,52
-8,-98
2,15
8,-3
6,-34
2,27
-2,51
-4,80
-1,-84
0,18
-2,71
-4,-106
-6,20
-15,0
-20,-43
-16,-3
-9,-11
0,57
5,-56
0,19
-6,62
-5,-115
6,8
16,18
13,0
3,45
0,9
5,44
11,-80
13,17
10,63
6,-139
5,12
4,49
4,-1
6,20
10,-20
15,44
13,-38
10,43
15,63
26,-126
32,10
25,5
18,-41
22,39
29,20
30,24
21,-74
16,33
16,81
14,-108
13,8
17,28
20,-31
14,-5
7,1
10,79
22,-17
29,27
30,47
31,-112
30,18
29,21
33,-38
39,-4
41,13
37,63
32,-66
31,14
34,57
37,-100
37,31
36,16
38,-55
38,-20
32,16
25,85
23,-45
25,27
26,61
29,-99
32,38
35,33
39,-39
40,-28
40,-2
42,77
45,-61
44,9
42,62
40,-74
38,29
37,-28
34,-61
30,-7
28,15
28,95
28,-36
28,33
28,55
28,-112
29,25
32,13
34,-31
35,7
32,7
32,61
37,-44
45,49
46,42
41,-174
37,-21
35,25
35,-2
33,26
33,32
33,100
32,-45
29,18
23,42
19,-155
19,-17
20,11
22,-6
24,30
27,26
30,95
31,-45
28,17
27,37
30,-145
35,4
36,14
32,-17
27,27
22,33
19,95
19,-59
19,5
15,41
8,-136
2,5
-1,18
0,-11
4,8
8,8
10,79
15,-58
22,22
21,38
13,-133
8,25
11,23
16,-14
18,9
14,24
10,110
10,-52
11,-24
15,2
18,-132
17,26
12,45
11,9
15,20
16,42
7,90
0,-83
2,-10
9,9
13,-137
13,35
11,34
10,3
11,20
13,23
14,81
14,-85
14,-9
13,14
13,-131
14,55
13,65
8,19
2,9
-1,-4
-3,50
-2,-111
0,-22
1,26
3,-110
3,67
3,79
7,25
13,9
18,17
18,68
13,-115
5,-28
-3,12
-8,-135
-7,33
-5,50
-4,47
-2,37
-3,5
-7,61
-10,-105
-10,-23
-10,13
-12,-119
-9,49
-2,60
3,74
0,57
-8,-5
-9,30
-3,-156
3,-47
1,16
-6,-112
-10,79
-11,73
-12,27
-13,11
-14,-16
-13,48
-8,-96
-3,-8
-1,35
-3,-101
-6,78
-10,94
-6,32
0,-13
0,-41
-7,15
-15,-111
-17,-8
-8,29
2,-86
3,89
-6,93
-16,8
-18,-46
-8,-21
-2,42
-4,-98
-11,6
-16,26
-13,-89
-6,77
-2,66
-5,9
-9,-19
-7,-8
-4,48
-5,-91
-9,-11
-12,6
-13,-101
-11,75
-8,105
0,37
11,-53
15,-31
14,58
12,-98
8,-24
2,3
-7,-65
-14,120
-11,106
-4,3
-4,-96
-6,-66
-5,46
-3,-58
3,16
14,8
23,-72
21,98
13,79
6,7
9,-59
14,-26
12,49
10,-91
15,24
20,29
21,-79
17,83
14,37
18,-15
22,-31
21,-1
21,70
22,-87
19,-8
17,29
20,-73
19,69
20,56
24,12
24,-36
17,-22
9,62
15,-75
31,23
38,34
29,-117
16,41
12,65
15,12
16,-41
11,-1
9,81
12,-78
14,10
11,23
8,-92
8,55
11,24
16,-18
16,-37
8,13
0,110
-1,-57
4,4
6,18
5,-94
3,56
2,38
4,-9
7,-59
7,-37
8,72
11,-53
8,21
-2,24
-8,-90
-4,70
1,61
4,-9
3,-61
0,-22
-1,91
3,-35
1,18
-6,2
-9,-107
-3,56
1,66
0,12
-1,-64
0,-30
0,73
1,-68
4,17
6,25
4,-90
0,75
0,71
1,-7
-2,-78
-4,-28
-3,62
0,-87
4,13
6,22
4,-69
4,106
4,82
1,8
-5,-69
-6,-31
-4,64
-4,-109
-5,-18
-5,25
-3,-52
1,100
6,59
6,19
2,-38
-3,-31
-6,40
-7,-120
-7,3
-12,38
-16,-67
-12,91
-6,58
-2,19
2,-39
5,-20
3,64
2,-103
4,5
-1,26
-10,-79
-18,90
-23,73
-25,34
-24,-61
-22,-64
-19,28
-12,-135
-4,-7
-3,35
-8,-58
-10,116
-11,79
-12,36
-13,-40
-12,-68
-11,19
-10,-97
-10,33
-10,45
-6,-93
-4,75
-10,89
-22,40
-29,-50
-28,-66
-23,15
-19,-93
-18,30
-20,50
-23,-58
-26,98
-28,102
-30,13
-28,-106
-20,-69
-14,27
-14,-86
-19,39
-23,45
-25,-52
-28,102
-31,91
-28,8
-18,-120
-15,-85
-20,31
-26,-83
-27,39
-26,61
-22,-26
-16,106
-13,71
-12,-7
-10,-112
-11,-65
-15,35
-16,-79
-12,53
-10,69
-10,-27
-9,85
-11,26
-17,-41
-21,-121
-21,-68
-20,50
-18,-58
-15,74
-16,89
-17,-13
-16,97
-15,26
-17,-51
-18,-142
-17,-71
-14,62
-12,-61
-10,73
-10,84
-10,-51
-7,66
-2,32
-2,-33
-5,-103
-8,-42
-8,72
-5,-53
-3,57
-6,62
-12,-72
-10,40
-3,20
0,-12
-2,-66
-5,-17
-7,98
-10,-32
-14,47
-10,27
-4,-113
0,35
3,34
5,-39
9,-107
14,-66
15,57
10,-17
3,104
1,114
1,-71
3,3
3,26
1,-18
0,-82
-1,-13
1,96
-1,-20
-7,65
-13,52
-15,-97
-12,4
-10,20
-9,-8
-6,-79
-4,-42
-10,76
-18,-12
-26,93
-32,88
-35,-96
-33,-37
-24,-31
-15,-38
-12,-76
-12,-37
-10,91
-4,13
2,56
5,29
2,-87
1,16
3,43
2,7
1,-79
5,-31
10,59
11,-57
10,47
11,48
13,-66
15,55
17,50
15,0
10,-65
10,-28
18,47
19,-52
11,60
9,47
18,-96
26,7
28,52
21,47
11,-53
8,-34
13,56
15,-58
13,43
11,39
11,-74
15,44
18,46
18,27
19,-48
21,-25
21,47
23,-83
27,32
25,42
18,-89
18,7
23,38
25,36
23,-56
23,-4
25,80
26,-79
27,28
27,31
21,-90
18,28
21,37
26,25
28,-47
26,-39
23,31
23,-58
21,65
17,55
16,-70
23,42
30,47
31,27
27,-75
23,-83
23,19
24,-60
27,70
26,65
23,-78
21,28
22,38
20,12
17,-74
18,-48
20,42
22,-55
23,76
26,73
30,-71
31,31
30,44
28,-11
27,-100
29,-50
29,42
27,-29
24,100
22,87
21,-54
19,19
16,21
16,-24
16,-121
13,-59
10,50
11,-28
13,97
14,84
17,-45
23,26
29,16
30,-18
27,-110
22,-50
18,57
19,-42
21,75
20,68
19,-64
22,17
26,25
28,-4
32,-88
33,-24
30,78
24,-17
19,87
17,62
19,-57
18,-4
13,-43
8,-42
5,-94
4,-39
5,47
8,-48
13,101
15,113
13,-32
11,11
11,-15
11,-34
10,-96
11,-10
11,90
7,-36
5,86
5,82
7,-87
7,-33
7,-13
8,-10
10,-72
13,4
14,99
12,-21
8,87
6,70
6,-106
10,-55
12,-21
10,2
7,-42
6,22
8,98
13,-31
17,75
15,63
10,-106
4,-54
0,-31
1,-9
6,-48
5,11
2,97
1,-11
1,88
0,61
-1,-112
1,-59
3,-25
5,5
6,-36
5,28
4,105
3,-24
1,64
-1,39
-3,-111
-3,-53
-3,-23
-5,11
-6,-33
-7,36
-6,124
-3,-8
-1,59
-4,18
-7,-135
-8,-67
-7,-25
-9,2
-11,-42
-8,46
-2,121
-1,-32
-5,39
-7,7
-8,-108
-11,-16
-14,9
-15,29
-16,-33
-17,33
-17,100
-17,-61
-17,31
-17,21
-17,-89
-16,-6
-15,1
-16,23
-18,-37
-17,32
-12,100
-7,-75
-8,13
-9,13
-10,-86
-12,3
-14,8
-13,30
-8,-28
-6,28
-10,86
-15,-82
-19,25
-20,29
-18,-86
-15,-3
-16,-2
-18,25
-18,-30
-17,47
-16,107
-12,-104
-7,8
-5,32
-4,-76
-1,11
-2,-2
-9,40
-18,2
-25,18
-28,60
-27,-100
-24,7
-22,29
-20,-86
-18,-16
-15,-15
-14,39
-12,-3
-11,16
-13,73
-14,-81
-12,37
-10,57
-8,-74
-6,-12
-5,-9
-6,7
-7,-41
-7,18
-9,73
-10,-53
-9,61
-10,55
-11,-65
-10,-13
-9,-17
-8,-1
-8,-53
-9,9
-11,72
-10,-54
-7,57
-7,60
-11,-59
-14,-15
-11,-7
-7,12
-6,-55
-6,7
-7,69
-6,-67
-4,50
-5,62
-7,-55
-7,-12
-6,-20
-6,-6
-9,-61
-13,25
-14,97
-13,-62
-11,43
-11,53
-11,-61
-10,-8
-9,-2
-8,13
-5,-58
1,14
4,74
3,-80
2,44
2,58
2,-42
1,-5
-4,-60
-8,-15
-7,-33
-5,39
-7,101
-8,-77
-5,36
0,62
3,-50
5,-16
4,-62
2,-18
2,-22
-1,57
-3,107
0,-76
5,35
4,65
2,-86
1,-59
-2,-40
-5,6
-4,-11
-1,72
0,112
-2,-62
-3,46
0,60
6,-92
12,-71
12,-51
5,9
0,-10
1,67
5,115
9,-55
11,32
8,30
6,-97
5,-62
1,-50
-3,15
-2,-5
2,68
3,116
1,-53
0,36
0,28
2,-100
5,-54
7,-34
5,23
4,-13
2,57
1,108
0,-56
-1,44
-3,47
-2,-82
-2,-51
-10,-33
-21,27
-26,-17
-23,46
-17,87
-12,-75
-9,-3
-10,-25
-10,-90
-10,-13
-10,2
-10,47
-9,-19
-7,63
-5,119
-5,-67
-7,17
-6,8
-4,-92
-2,-33
-2,-19
-4,36
-6,-11
-7,72
-12,99
-15,-121
-15,-4
-17,32
-19,-76
-21,-26
-20,-10
-15,62
-9,15
-7,61
-11,83
-14,-119
-15,-12
-16,20
-15,-70
-13,-16
-12,-10
-13,55
-14,8
-14,59
-16,83
-17,-118
-15,-13
-13,15
-12,-69
-14,-10
-15,-2
-16,63
-16,5
-16,53
-16,72
-16,-125
-16,-9
-16,18
-15,-63
-15,-4
-17,2
-19,66
-20,-3
-20,42
-22,70
-25,-132
-26,-13
-26,18
-25,-64
-21,0
-19,10
-20,90
-19,15
-19,19
-20,40
-22,-135
-21,-8
-20,23
-22,-64
-23,2
-23,26
-24,64
-23,-22
-20,31
-20,51
-23,-110
-23,15
-21,25
-20,-47
-18,6
-18,22
-19,69
-21,-35
-21,16
-20,50
-18,-117
-15,7
-13,19
-11,-48
-10,12
-11,21
-14,67
-18,-32
-20,18
-18,51
-16,-122
-13,6
-12,31
-14,-36
-16,11
-19,12
-21,55
-20,-37
-20,21
-22,52
-25,-120
-27,5
-27,25
-23,-36
-21,14
-23,21
-26,67
-27,-43
-24,15
-20,52
-16,-109
-13,30
-14,32
-21,-24
-31,23
-38,-5
-41,41
-40,-64
-38,2
-35,43
-30,-131
-26,17
-24,36
-22,-21
-21,24
-22,3
-25,62
-28,-37
-28,25
-26,59
-23,-127
-21,15
-22,36
-22,-58
-18,-21
-18,-4
