eog,emg
2,2
-1,-2
-5,-5
-6,2
-6,1
-6,-2
-4,-2
0,1
0,5
-1,1
2,-3
5,-3
2,-2
-11,-5
-29,-6
-32,1
-14,6
10,3
16,2
8,2
-4,2
-12,3
-13,1
-8,1
-2,-2
2,-6
7,0
10,7
11,4
10,-3
9,-3
7,-1
8,-3
7,-1
-3,2
-16,2
-13,0
10,-2
31,-2
38,2
32,1
22,-1
15,0
11,2
4,2
-7,0
-23,-3
-39,-2
-40,4
-22,4
-8,-2
-7,-1
2,2
25,0
40,-2
37,-2
28,-1
21,1
14,-1
9,-6
3,-2
-10,5
-23,3
-21,2
-11,0
-8,-3
7,1
40,2
56,0
41,-4
15,-2
-3,3
-13,3
-18,1
-16,-4
-6,-2
13,3
28,-1
24,-1
10,-1
7,-1
17,2
25,1
15,2
-8,1
-16,-5
4,-3
23,4
21,5
14,-1
14,-3
9,2
-11,2
-35,-2
-38,-2
-10,-1
30,0
48,-4
33,-2
9,5
0,2
15,0
36,0
39,-4
27,0
16,5
16,-1
20,-2
17,-1
8,0
-3,-1
-17,1
-32,8
-44,4
-32,-6
7,-7
37,-3
42,-4
34,-2
27,3
24,2
22,6
20,4
20,1
17,0
8,-6
1,-3
5,8
9,3
8,-3
2,0
-8,1
-24,1
-36,-4
-26,-9
-8,0
-16,10
-41,6
-36,1
15,-7
60,-11
63,-4
40,-1
19,7
4,15
-4,3
-3,-5
2,-3
5,-6
6,-1
8,6
10,-1
11,1
5,-1
-5,-8
-25,1
-56,5
-69,1
-36,3
17,1
41,0
27,1
7,0
4,-2
10,-3
13,0
11,2
9,-1
9,-1
8,3
8,2
6,0
5,-2
8,-2
8,-1
-4,0
-26,-2
-41,2
-32,8
-11,-1
6,-5
16,-2
16,-3
2,-3
-11,-1
-8,1
5,3
14,3
10,-3
0,-2
-3,0
1,1
3,5
0,4
-10,1
-19,-2
-18,-2
-7,6
3,3
5,-8
-3,-9
-15,1
-25,9
-30,6
-24,-2
-4,-3
9,1
6,-4
-1,-9
1,-1
4,9
1,2
-2,-8
-1,-2
-7,5
-18,1
-26,1
-25,6
-13,-1
5,1
15,-2
16,-8
16,4
11,4
3,-4
-10,1
-23,0
-31,0
-43,5
-53,-2
-35,-4
1,2
20,-2
20,-7
21,-1
18,6
6,2
-6,-1
-11,0
-10,2
-4,1
-3,-2
-8,-2
-14,-2
-17,-2
-19,2
-13,6
4,2
16,-5
8,-6
-18,2
-47,10
-65,5
-66,-1
-40,-2
6,-6
34,-2
36,2
35,-1
31,-1
18,-6
3,-4
-8,10
-12,8
-14,-6
-18,-8
-20,-2
-19,9
-19,6
-21,-2
-13,3
-5,2
2,-3
5,-4
-6,-2
-28,1
-44,-3
-30,-4
1,2
19,3
13,4
-2,2
-12,-1
-13,0
-14,0
-19,0
-21,-3
-23,-5
-33,1
-36,7
-25,4
-21,-3
-27,-2
-22,-3
-3,-3
10,3
8,2
2,-1
-3,-1
-9,2
-20,-1
-28,-4
-26,3
-15,0
-6,0
-6,7
-22,-3
-40,-5
-27,2
6,3
16,7
3,-1
-8,-13
-5,-1
2,9
2,-1
0,-5
-2,-3
-4,-1
-4,5
-5,4
-11,3
-21,-5
-36,-9
-44,5
-23,4
4,-5
5,1
-17,2
-41,3
-37,0
-4,-8
22,4
15,12
-11,0
-22,-3
-12,-8
-3,-10
-2,3
0,8
-2,0
-12,-4
-18,-2
-12,3
-6,-2
-17,-5
-40,2
-45,6
-21,-2
2,-8
-8,1
-41,11
-35,8
15,-7
43,-6
30,7
5,7
-14,0
-21,-5
-12,-4
3,-1
8,5
2,7
-10,-1
-24,-6
-34,-1
-35,-1
-18,-3
7,-1
18,-4
10,0
2,1
8,-2
19,12
21,14
16,-4
12,-13
6,-11
-2,6
-1,21
8,11
18,-5
21,-13
10,-12
-7,-6
-20,1
-25,10
-18,7
-5,2
2,1
11,-6
23,-13
22,-11
12,7
15,12
30,-2
36,-11
26,-6
5,4
-12,4
-16,10
-5,8
11,-4
12,-8
-7,4
-22,16
-15,1
4,2
7,7
-10,-3
-21,-11
-22,-19
-17,-10
-2,4
17,1
26,3
17,6
10,3
15,5
14,-2
10,-2
17,-1
31,-6
36,0
29,4
23,12
24,16
27,-3
21,-13
11,-3
4,0
-5,-1
-23,-1
-33,-10
-19,-7
-5,8
-1,8
8,1
21,-3
26,-10
27,0
26,12
19,4
14,-8
13,-10
8,7
3,13
11,-7
21,-10
11,-3
-14,8
-20,9
8,-7
37,-4
42,7
27,4
4,-5
-10,-11
-5,-12
7,4
2,17
-24,6
-40,5
-18,0
18,-16
30,-4
22,13
12,11
3,4
4,-15
12,-9
16,13
13,0
2,-7
-5,2
0,-2
6,-6
1,2
-9,5
-14,3
-19,1
-15,-3
0,2
13,-9
18,-20
17,6
9,27
1,18
2,-2
9,-10
7,-4
-5,-10
-17,-4
-15,4
3,-7
17,-5
11,9
2,7
7,-4
19,1
21,11
16,2
12,-4
11,-3
11,1
10,-1
7,-15
3,0
3,8
5,-7
3,-1
1,8
1,-3
-1,-8
-6,2
-7,9
-1,0
2,-3
-2,0
-2,-5
6,-1
9,5
3,0
-4,-1
-7,2
-5,3
6,6
22,-2
32,-7
30,3
20,3
8,-5
3,1
3,0
6,-8
18,2
27,3
20,-3
8,0
-3,6
-14,8
-15,2
5,-3
29,-7
29,-7
11,1
-3,1
-6,3
-1,5
3,1
6,-2
11,0
15,2
21,-9
21,-8
9,11
-1,13
6,2
16,-10
16,-8
2,6
-19,7
-27,-3
-14,4
3,8
7,-7
-1,-8
-9,-5
-13,-1
-17,3
-19,-1
-17,-1
-12,0
-3,-1
4,-3
-6,5
-23,6
-27,-3
-24,-2
-23,-1
-15,5
8,10
31,-1
33,-13
20,-13
10,0
12,12
15,6
10,0
7,0
9,4
0,-4
-14,-13
-16,-4
-5,8
7,20
9,10
-2,-5
-12,-9
-6,-15
8,-9
12,-5
7,5
1,14
-4,1
-13,-10
-20,-11
-25,-8
-39,7
-51,17
-43,17
-11,22
31,-2
55,-15
47,-8
24,-11
8,-3
5,3
11,6
13,4
3,1
-7,-4
-4,-23
3,-16
-2,21
-16,31
-32,12
-37,-2
-29,-12
-13,-2
10,-5
32,-16
35,4
20,9
11,-1
16,6
22,3
16,-7
8,-4
6,-3
2,-1
-4,-2
-5,-6
3,1
15,7
25,7
24,6
10,-1
1,-4
