eog,emg
-15,-1
-20,1
-25,1
-28,-2
-29,-1
-29,-1
-24,-2
-17,-1
-9,4
1,9
10,5
13,-4
11,-6
8,-1
2,0
-8,-6
-15,-3
-18,5
-18,4
-16,0
-12,-2
-7,-1
-2,0
4,1
8,5
10,1
12,-6
10,-4
5,1
2,2
3,1
5,4
6,4
8,-3
9,-6
8,-6
7,0
6,5
2,3
-2,6
-4,4
-6,-5
-5,-6
0,-2
6,-2
7,-1
7,0
4,2
-3,5
-10,4
-10,0
-8,0
-5,-1
0,0
4,2
5,-1
6,-2
5,-1
1,1
-2,3
-2,-1
-1,-1
0,0
0,-4
-1,1
-6,4
-10,-1
-11,-4
-12,-5
-11,1
-8,4
-5,1
-3,-2
2,2
7,9
9,4
10,-3
10,-7
7,-5
5,3
5,2
5,-2
5,-2
7,-2
8,-1
7,-3
9,2
12,5
12,2
9,2
5,-2
-2,-4
-9,-1
-13,0
-14,-1
-13,2
-8,6
-1,3
7,-1
14,-2
19,-4
19,-2
18,0
18,0
19,0
19,0
19,2
22,4
24,0
26,-2
29,0
28,5
22,-1
13,-9
0,-4
-15,1
-26,0
-32,0
-36,1
-37,0
-33,3
-26,4
-18,1
-8,0
1,2
6,-2
10,-4
14,4
16,6
19,2
24,0
27,0
28,1
29,-2
26,-9
19,-7
11,2
4,4
-5,2
-12,1
-16,-4
-20,-3
-22,1
-22,3
-22,4
-21,1
-19,0
-16,-2
-16,-3
-15,7
-12,7
-10,-2
-9,-8
-5,-6
-2,1
1,1
6,-2
11,3
13,5
16,4
20,2
19,-2
14,-6
8,-6
0,-3
-9,1
-17,-1
-21,-3
-24,4
-25,7
-25,2
-26,-3
-27,-3
-25,1
-22,3
-20,-2
-15,0
-6,4
5,4
19,4
33,-3
41,-2
44,6
43,4
38,-1
27,-5
15,-4
4,0
-8,-5
-16,-9
-20,-7
-23,-6
-24,-2
-21,6
-17,9
-14,7
-9,3
-4,-2
0,1
6,2
11,-3
13,-2
13,-1
11,2
8,5
3,-1
-1,-1
-2,4
-5,-2
-5,-5
-1,-1
4,1
7,-1
10,0
8,1
1,2
-5,0
-9,0
-13,0
-13,-3
-10,-2
-6,5
-1,4
7,2
14,-1
18,-5
22,-1
24,-1
22,-1
19,3
17,2
12,-2
7,0
3,0
-2,-2
-6,-1
-5,1
0,5
4,4
6,-3
7,-4
5,0
1,2
-3,-1
-8,-1
-14,2
-14,3
-11,0
-5,-1
2,-1
12,-4
19,-1
25,4
33,3
37,1
36,-3
33,-2
28,3
21,-2
14,-6
8,-2
1,0
-3,-1
-3,1
-2,0
-1,0
0,7
0,3
-2,-4
-4,0
-5,1
-8,1
-8,0
-5,-4
-1,-1
3,3
8,3
14,1
17,1
17,0
17,-3
14,0
7,1
0,-2
-7,0
-14,-1
-18,1
-19,2
-19,-2
-15,-2
-6,-3
-1,-1
3,4
7,5
10,4
9,0
10,-2
9,-2
4,-1
-2,1
-6,2
-8,0
-9,-3
-8,-4
-8,-1
-7,1
-5,2
-3,0
-3,-2
-4,1
-5,4
-9,5
-15,2
-19,-5
-22,-4
-23,0
-21,4
-18,4
-17,0
-14,-4
-9,-2
-4,0
0,-1
4,2
6,1
6,-5
6,-1
6,3
5,-1
5,-4
5,-3
2,1
-3,3
-8,2
-14,3
-21,3
-27,1
-31,-2
-36,-7
-41,-5
-40,-1
-37,6
-32,7
-25,2
-16,-2
-8,-5
-3,-3
-2,4
-4,4
-5,-1
-7,-3
-12,-4
-17,-2
-19,0
-21,2
-25,4
-27,2
-27,-3
-27,-5
-27,0
-25,1
-24,3
-23,8
-20,1
-14,-5
-10,-2
-4,3
0,2
1,-2
4,-1
7,0
8,-2
5,-6
0,-5
-7,0
-15,5
-19,6
-17,3
-16,0
-18,0
-18,1
-17,0
-16,-1
-11,0
-8,2
-9,2
-6,-1
0,-3
4,-3
3,2
0,7
-2,2
5,-3
14,-3
15,-4
12,-5
8,-4
1,-1
-8,2
-14,2
-13,1
-9,3
-7,5
-4,4
0,0
2,-6
6,-4
13,2
10,6
3,5
-1,-4
-2,-6
-6,-1
-11,2
-14,9
-11,4
-2,-3
4,2
7,4
7,0
4,2
0,-3
-1,-10
4,-8
10,-5
10,-2
3,6
0,5
7,-2
20,-3
29,-5
25,-3
12,1
3,3
1,9
3,8
10,-2
15,-5
10,2
2,8
1,3
4,-5
8,-5
13,4
24,3
34,-2
39,-2
33,-2
17,2
5,-4
7,-14
15,-11
17,13
17,30
20,18
22,-7
22,-25
27,-14
28,1
27,-3
32,3
34,20
25,20
16,1
14,-20
9,-24
-4,0
-4,17
18,2
33,-10
36,-7
33,-5
26,10
20,17
16,6
6,-2
5,1
14,6
10,-4
-10,-16
-25,-27
-16,-20
19,6
56,19
65,26
53,9
47,-9
52,-5
57,-18
53,-7
43,17
39,16
49,15
59,-7
46,-31
21,-20
14,-2
23,8
24,8
20,13
25,25
35,14
43,-33
43,-50
38,2
34,37
37,22
46,5
58,-3
71,-9
83,-9
84,0
72,7
54,-2
43,-14
46,-4
64,-2
73,-11
65,4
54,9
52,-8
53,-20
52,-10
48,9
42,8
32,0
16,6
7,14
13,7
28,3
48,1
63,0
61,9
45,-8
31,-19
31,-3
42,2
51,8
51,9
52,-6
53,-7
45,0
38,-9
34,-3
30,16
22,18
15,9
18,-2
27,-6
43,-3
56,-5
39,-6
10,1
1,1
6,0
5,-3
-2,-3
-4,8
3,6
14,0
21,-1
25,-9
37,-7
43,3
35,11
27,16
29,10
31,-9
20,-22
7,-14
2,-8
9,7
28,22
42,12
34,2
12,-10
4,-23
7,-20
-8,-10
-21,11
-14,24
-10,7
-16,-3
-29,6
-34,2
-24,-6
-14,3
-10,16
-7,7
-8,-10
-14,-10
-12,-2
0,3
4,10
-4,6
-7,-13
2,-11
-1,-8
-16,-8
-20,5
-25,6
-46,8
-56,13
-44,-5
-35,-10
-35,3
-30,-11
-25,-15
-25,4
-18,11
-6,12
-4,2
-7,-8
-11,7
-4,12
10,-8
12,-8
2,6
-6,5
-2,1
9,-5
18,1
17,14
-2,-1
-24,-22
-31,-18
-31,-1
-32,15
-32,8
-34,-8
-35,-8
-34,-7
-30,6
-24,11
-15,-5
-7,4
-7,12
-12,11
-12,11
-5,-8
0,-16
-3,0
-3,-2
-4,-6
-11,3
-15,-4
-21,-4
-36,6
-53,1
-61,-2
-59,2
-53,2
-49,1
-47,-1
-45,-4
-38,3
-27,3
-24,-5
-31,1
-37,14
-41,10
-43,-11
-41,-16
-37,7
-32,20
-33,5
-31,-12
-22,-16
-22,-5
-36,3
-49,-1
-55,4
-53,2
-51,-6
-56,-2
-62,0
-72,4
-86,1
-88,-6
-70,-4
-47,-8
-31,-6
-23,-1
-21,-4
-24,11
-24,21
-26,13
-33,9
-40,1
-45,-3
-47,-6
-45,-15
-39,-7
-36,5
-42,-1
-52,-10
-56,-7
-47,15
-31,16
-25,-5
-34,-4
-42,1
-36,10
-31,10
-37,-20
-39,-21
-30,11
-21,21
-17,6
-12,-9
-9,-16
-11,-7
-15,11
-14,0
-17,-6
-29,16
-36,2
-37,-31
-44,7
-46,30
-37,-18
-40,-22
-55,-14
-55,8
-37,54
-18,14
-7,-32
-13,-8
-23,1
-19,13
1,53
6,38
0,-20
7,-18
5,-3
2,-15
-1,-2
-14,-20
-19,-39
-20,20
-17,35
0,-1
0,8
-8,25
15,32
33,-8
9,-43
-17,-16
-8,13
18,25
21,-8
5,-22
-9,2
-1,-10
14,-13
9,4
-3,-9
-12,-14
-12,6
-4,20
19,20
36,-1
29,-16
9,-9
-18,-6
-26,-2
-7,2
11,-5
7,-22
-27,-33
-59,5
-59,46
-20,17
24,-16
24,-35
-4,-15
-33,36
-25,16
13,-11
33,-16
20,-10
-10,-28
-20,-35
-12,35
-2,42
3,8
-21,-15
-46,-45
-7,-18
49,-2
36,-9
-21,30
-48,20
-48,-10
-45,31
-24,3
-1,-48
-21,-31
-68,4
-62,25
-20,7
-8,8
-17,24
-18,4
-12,-19
-18,-20
-21,17
-3,24
-5,-8
-34,-4
-51,-14
-46,-16
-36,3
-44,12
-47,15
-37,-11
-54,-15
-81,2
-78,6
-48,10
-27,8
-40,20
-59,18
-55,-9
-37,-10
-22,0
-20,2
-34,2
-51,-5
-53,-10
-39,-1
-32,-1
-45,-5
-64,4
-77,4
-74,-1
-54,11
-49,10
-74,-6
-85,-1
-66,1
-58,-7
-66,-6
-65,-6
-70,1
-77,6
-71,0
-62,7
-56,12
-47,-1
-41,-11
-44,-5
-46,2
-50,2
-53,11
-48,11
-46,-6
-60,-12
-68,-5
-60,1
-52,2
-43,8
-31,11
-25,5
-23,2
-15,-8
-3,-12
1,-2
-9,-1
-16,1
-17,1
-25,-10
-26,-6
-12,3
-2,-1
-2,0
3,9
13,12
14,3
12,-5
19,-5
22,1
14,3
11,-3
17,-4
25,1
30,2
26,0
20,2
20,5
23,-1
26,-6
25,-2
23,4
24,6
34,2
45,-3
51,-3
57,-2
64,-2
67,0
66,4
64,1
61,-5
55,0
50,5
51,-2
54,-5
52,-3
46,0
40,-1
34,-2
32,5
36,6
40,1
42,-3
45,0
49,2
52,-1
58,0
58,3
46,1
39,0
44,-1
50,-6
50,-6
49,6
50,8
45,-1
39,-2
42,1
49,-2
55,-5
57,-4
55,3
54,4
54,-2
53,0
49,4
46,-1
44,-6
39,-4
29,-2
27,2
28,6
28,5
27,-2
22,-3
20,-3
27,-3
34,-2
37,4
44,15
58,6
60,-8
50,-11
43,-9
41,3
37,13
38,18
39,5
31,-9
21,-11
18,-12
19,-2
21,4
26,-2
31,-1
29,0
27,12
31,20
31,0
28,-15
30,-8
29,1
23,-3
14,-2
10,6
17,4
25,-7
22,-17
18,-1
23,21
31,11
32,3
32,0
34,-10
29,-5
19,2
15,1
7,-3
3,-14
10,-12
14,10
19,20
33,10
35,6
28,-8
24,-19
22,-11
26,-3
27,16
21,21
16,10
14,-6
19,-22
27,-17
24,-6
25,4
32,0
27,6
10,18
-4,5
-3,-14
15,-18
26,-4
8,23
-13,22
-3,-2
11,-1
-1,-3
-9,-16
-7,-16
-8,-4
-11,18
-15,17
-4,5
9,2
0,-4
-16,-12
-10,-22
13,-7
25,8
9,6
-28,5
-39,-1
-15,8
-9,13
-9,-7
3,-19
-15,-1
-33,20
-22,11
-4,-5
2,-3
-2,0
-5,-2
-11,-10
-11,-6
-11,10
-29,-6
-44,-15
-40,1
-25,6
-10,12
-2,20
-13,21
-38,-6
-47,-39
-30,-20
-10,12
-12,38
-29,14
-30,-48
-10,-11
-5,33
-23,6
-34,-29
-32,-29
-29,22
-26,36
-28,3
-36,-5
-34,-3
-21,2
-13,-21
-24,-22
-41,10
-40,-2
-33,7
-39,6
-51,-1
-48,3
-31,-14
-20,5
-24,15
-36,-7
-37,12
-20,23
-9,-17
-21,-29
-39,9
-40,40
-31,24
-25,-45
-27,-73
-39,33
-44,80
-33,-3
-33,-21
-53,-21
-64,-26
-62,19
-48,3
-28,-22
-17,-12
-26,0
-37,32
-36,5
-28,-37
-25,12
-25,52
-23,9
-23,-37
-30,-17
-35,20
-35,7
-34,-14
-34,-1
-30,7
-28,-8
-35,-11
-42,1
-46,7
-48,6
-46,9
-46,6
-51,0
-54,1
-53,-1
-53,-5
-51,-7
-42,-7
-27,6
-15,-2
-5,-6
8,17
16,1
7,-10
-5,1
-11,-2
-12,0
-8,-5
-4,-7
-3,6
-8,6
-17,7
-22,9
-19,-15
-13,-8
-4,21
5,7
9,-14
13,-10
20,4
24,14
25,15
25,-3
26,-16
27,-4
27,-7
26,-7
24,8
20,-2
15,-6
23,7
36,3
36,-1
33,0
35,-9
32,-9
20,1
14,5
20,-2
26,4
23,20
14,11
9,2
6,-6
6,-22
10,-10
13,9
13,7
13,-1
16,-1
21,-3
26,-4
29,-1
28,2
28,6
32,6
33,-1
30,-1
31,3
28,-1
21,-1
16,3
12,-1
9,-3
15,-2
25,0
29,1
25,0
23,4
26,2
28,-5
31,2
34,4
36,-1
33,-3
25,-3
20,1
19,1
23,-5
30,-3
32,0
32,-2
33,5
29,5
27,0
33,4
34,4
32,1
31,-4
30,-5
30,-5
34,-4
32,0
22,0
17,5
27,3
36,-4
34,-1
31,3
30,0
29,0
34,4
46,4
50,0
41,-1
31,-7
31,-4
33,3
28,-4
17,-1
11,7
15,4
19,2
19,1
20,-7
24,-8
29,-4
35,1
37,5
29,5
26,3
33,2
39,5
36,3
29,-6
26,-8
29,-6
26,-4
11,-1
-4,4
-8,3
-7,-2
-8,-3
-6,-2
3,3
13,6
13,2
14,1
21,9
28,13
31,5
34,-5
36,-10
38,-9
42,-4
43,-5
33,-12
21,0
13,10
10,2
7,0
10,0
14,-2
8,0
-3,2
-4,3
4,-2
11,-2
13,5
12,7
9,3
11,-1
15,-4
16,-9
13,-8
11,8
5,14
0,3
3,-8
11,-5
19,2
22,-4
24,-5
28,1
32,2
36,4
37,1
30,-2
17,2
3,2
-6,1
-5,-1
1,-6
5,-7
9,5
8,6
0,-1
-4,-1
-3,-1
-6,3
-9,7
-7,3
-3,-3
6,-9
13,-10
7,-1
-1,8
0,6
2,-1
4,1
11,5
20,4
23,1
21,-5
24,-6
27,-2
18,2
1,5
-6,-2
-5,-6
-6,-4
-6,-1
-3,0
0,-4
1,0
9,1
16,2
12,7
11,4
15,2
13,1
12,-2
16,-5
15,-8
8,2
7,12
4,5
-7,-4
-15,-2
-14,1
-14,-4
-20,-7
-29,0
-35,3
-31,0
-20,2
-13,3
-11,1
-10,-3
-13,-1
-10,3
3,1
12,1
22,3
37,1
37,1
14,-2
-10,-9
-18,-6
-16,3
-16,8
-18,4
-19,-5
-13,-6
-5,-1
-8,2
-22,-3
-33,-3
-32,9
-23,12
-14,4
-8,-3
-4,-6
1,-3
10,1
16,1
16,-1
12,-2
4,0
0,2
1,-2
1,-2
-2,2
-11,0
-16,0
-9,-3
-7,-5
-19,-2
-34,2
-44,4
-43,0
-28,1
-13,2
-13,1
-19,1
-18,-3
-12,1
-6,8
-5,1
-5,-3
-3,1
4,-1
4,-2
-4,-5
-6,-5
-1,4
2,10
-4,5
-13,-4
-20,-6
-23,-3
-24,2
-31,0
-38,-4
-32,2
-19,4
-11,1
-13,-2
-17,-2
-16,4
-10,2
-5,-1
-6,2
-6,5
2,0
10,-7
10,-7
16,0
29,4
21,3
-6,1
-21,-3
-25,-4
-28,-2
-27,-2
-24,0
-24,-3
-15,-3
-2,0
-5,6
-20,10
-31,2
-36,-1
-34,0
-24,0
-8,4
1,-1
3,-3
7,4
12,9
19,7
23,1
13,-6
0,-10
-3,-9
-8,-8
-14,-8
-9,-3
-7,3
-8,5
-3,2
-5,1
