eog,emg
-5,-25
8,-6
-7,13
-26,21
-35,18
-27,-1
-11,-17
-12,-14
-31,1
-31,1
-14,-7
-15,-5
-28,7
-24,11
-17,0
-18,6
-17,14
-17,8
-23,3
-21,-12
-7,-24
3,-16
-2,-2
-16,6
-29,8
-39,16
-49,11
-46,-9
-28,-17
-12,-15
-11,-2
-14,15
-17,18
-24,21
-38,14
-50,0
-47,-13
-27,-29
-2,-23
13,-12
11,-9
-4,15
-23,30
-44,29
-38,7
0,-26
19,-21
2,-2
-23,11
-46,24
-60,9
-44,-24
-2,-25
16,-3
-7,13
-34,12
-35,3
-22,3
-13,-4
-9,-19
-3,-2
-6,22
-19,13
-32,-3
-26,-16
1,-12
19,-5
20,-7
16,8
-2,20
-23,10
-25,-10
-19,-23
-20,-13
-17,5
-1,10
10,6
3,15
-11,21
-20,11
-11,-15
13,-38
24,-24
12,13
0,31
0,17
3,-13
3,-15
4,8
12,5
10,-2
-4,5
-7,-2
7,-4
11,2
3,-3
-2,-12
4,-15
12,5
19,16
28,2
27,6
8,11
-14,3
-14,-14
7,-21
20,1
8,23
-10,10
-6,-10
12,-6
25,-3
21,2
1,4
-15,-9
-13,-5
-1,6
19,-6
34,-14
27,3
14,18
10,15
7,-1
0,-2
-13,0
-17,-11
3,-22
28,-11
30,25
10,30
-5,-1
0,-6
9,-4
16,-20
20,-21
6,17
-10,33
14,1
44,-9
32,-5
0,-1
-6,-3
2,-13
-8,2
-25,8
-19,-12
8,-7
23,17
12,18
-1,-7
6,-17
20,0
20,7
9,5
0,-6
-3,-20
-2,6
4,33
9,7
7,-8
1,-2
-1,-12
3,-4
8,2
13,-5
12,-4
4,-7
0,-7
15,-6
29,-5
8,32
-28,46
-24,-2
16,-28
36,-17
25,6
9,10
2,-15
-6,-3
-16,21
-8,0
17,-20
29,-23
27,-11
31,16
37,27
27,22
-13,16
-50,0
-31,-24
20,-32
41,-14
31,-2
21,3
19,14
13,17
-7,15
-21,3
-7,-11
13,-6
17,-4
13,-12
12,-18
9,-6
-4,23
-19,31
-22,9
-15,-14
-4,-14
8,-11
24,-5
28,4
21,7
16,6
11,-14
8,-9
8,17
3,6
-7,-7
-9,8
-9,11
-15,1
-14,-4
-2,-9
1,0
-3,5
3,-7
15,-11
18,-3
13,-6
5,-7
1,17
1,21
1,5
10,-8
23,-12
15,6
-6,11
-13,-9
-7,-19
2,-5
14,8
17,6
9,4
6,5
10,3
7,-9
13,-18
21,6
3,23
-21,6
-18,-7
-3,0
1,3
7,-6
15,-9
17,-6
9,3
-2,-7
-2,-10
12,16
20,13
13,0
0,11
-3,11
1,-2
-5,-12
-11,-22
1,-12
22,0
32,1
21,22
5,25
5,-6
14,-17
15,-8
9,-4
8,-10
5,-8
-12,19
-26,33
-18,1
-1,-25
7,-4
5,12
-1,-8
-7,-16
-6,0
-4,8
-10,-10
-16,-12
-23,16
-32,23
-39,15
-43,1
-37,-17
-25,-13
-20,-3
-20,1
-22,2
-26,-3
-27,-4
-16,-4
0,-7
12,-10
16,-1
3,23
-21,21
-31,-4
-18,-3
-9,4
-12,-1
-12,-4
-15,2
-25,7
-21,-5
1,-29
13,-30
2,12
-14,37
-12,9
9,-10
20,-10
11,-4
2,10
-5,17
-26,16
-40,-7
-20,-28
7,-13
11,6
-3,17
-24,7
-42,2
-39,19
-20,7
-4,-25
9,-38
23,-24
31,-6
29,8
17,26
-16,32
-45,13
-26,-13
11,-16
19,-5
8,8
-11,11
-32,3
-33,1
-6,-2
18,-6
16,6
1,13
-9,-3
-18,-2
-20,4
-2,-18
18,-32
19,-10
13,11
9,7
-5,7
-8,-3
29,-14
63,2
55,0
36,7
28,21
28,3
31,3
25,5
27,-16
57,-15
82,0
78,7
63,11
44,25
21,15
23,-36
68,-45
115,-12
127,12
116,21
101,5
88,-10
85,2
103,8
122,2
119,3
103,3
90,6
77,11
67,-1
68,-14
76,-9
78,0
79,0
82,2
81,9
77,7
66,2
47,3
47,-11
65,-18
75,-3
65,14
46,19
34,-9
42,-18
59,0
69,3
60,17
37,17
29,-3
45,-10
57,-11
50,4
33,12
24,1
30,-7
38,-19
48,-11
62,1
68,1
54,9
43,6
45,14
43,24
38,-15
50,-46
67,-20
69,15
54,27
25,21
-14,6
-23,-1
20,-6
62,-16
66,-11
55,-7
43,-3
23,24
-1,30
-1,-3
31,-26
58,-13
53,5
33,-7
21,-5
22,10
27,9
24,3
23,-10
27,1
26,12
31,-9
39,-5
34,-1
17,-1
6,10
10,1
16,4
10,-1
3,-27
10,-14
25,14
33,23
24,16
3,4
-4,-3
12,-10
20,-8
13,-2
17,-2
29,-7
30,-7
19,-5
12,-2
11,15
12,15
19,-12
18,-16
6,-1
2,16
6,19
10,-8
13,-11
7,10
-2,8
-7,1
-13,-2
-12,-11
12,-21
44,-14
44,6
16,11
-7,10
-19,14
-27,11
-26,4
-17,-12
-4,-22
5,-1
3,9
-17,6
-36,3
-28,-5
-10,-8
-2,-11
7,-4
13,7
1,12
-23,20
-36,5
-26,-23
-13,-8
-3,20
3,9
4,-16
1,-13
-9,7
-25,13
-27,-3
-4,-23
20,-12
15,13
-9,17
-26,14
-36,7
-34,-12
-9,-21
13,-7
7,5
-8,7
-13,7
-13,6
-9,3
-7,0
-13,-1
-22,-2
-23,-6
-26,-5
-22,-3
-11,-2
-13,5
-23,-1
-18,-7
-1,-6
19,-12
26,3
18,17
14,2
24,1
27,15
13,6
1,-17
7,-21
21,-5
23,13
10,18
0,-5
6,-9
20,5
31,-7
30,-8
14,12
-5,17
-9,4
-4,-4
-3,0
-7,2
-2,-9
21,-24
35,-7
18,17
0,6
-2,-2
1,-3
5,-3
9,4
7,3
-1,8
-10,7
-15,-2
-6,-2
11,-9
18,-6
6,2
-8,7
-14,8
-14,-5
-18,3
-21,11
-13,-12
6,-20
23,-16
23,-1
1,27
-23,17
-18,-5
0,1
1,-5
0,-18
14,-10
16,5
-9,23
-42,26
-40,-17
1,-38
32,-9
20,13
-19,24
-45,13
-42,-1
-25,-2
-4,-12
4,-11
-10,4
-28,14
-33,15
-32,-8
-29,-24
-14,-11
-8,1
-16,-2
-20,-2
-21,11
-23,13
-25,0
-27,-3
-27,-2
-21,-7
-10,-12
-3,-11
-9,7
-23,23
-34,21
-41,16
-41,3
-26,-19
-7,-25
5,-12
8,-3
-2,5
-29,16
-52,17
-53,7
-38,-10
-19,-25
15,-21
39,-11
27,5
2,20
-11,15
-12,4
-4,2
