eog,emg
9,35
19,33
26,-27
16,-34
-3,-14
-14,10
-10,4
4,-28
15,-17
15,25
7,24
3,-2
2,-22
4,-10
10,31
11,15
6,-9
-1,-11
-10,-11
-14,15
-10,18
5,-9
19,-11
15,-8
0,-22
-8,13
-5,29
-4,2
-7,7
-3,-20
5,-41
3,-2
0,30
-1,32
-4,20
-8,-4
-6,-19
1,-10
10,-14
8,-35
-7,3
-9,41
3,2
7,-17
5,-13
4,-12
-3,12
-8,21
-3,11
5,-5
2,-19
-2,0
-6,26
-10,7
-7,-25
0,-19
-2,9
-12,14
-10,-1
-2,4
-1,-4
-1,3
3,16
1,-16
-2,-21
-1,-15
2,-21
6,21
8,31
3,-22
-12,13
-28,33
-25,-16
-5,1
7,8
-1,4
-6,-22
0,-61
6,0
7,53
4,17
-1,-13
-2,16
-1,-4
3,-5
-2,41
-9,-19
-5,-21
1,15
4,5
7,8
-3,-24
-16,-8
-13,37
-3,-5
0,-38
-1,-20
-1,-5
-4,25
-8,34
-6,30
-1,-1
5,-38
9,-19
7,-3
0,4
-7,29
-10,22
-10,-34
-4,-19
3,16
1,-9
-8,-15
-13,-11
-15,19
-11,40
-7,1
-10,-44
-16,-26
-17,26
-17,22
-17,-2
-17,1
-16,-2
-19,-17
-27,-19
-29,6
-23,33
-13,15
-7,-4
-8,10
-13,-7
-19,-50
-23,-17
-20,43
-13,28
-7,-5
0,-23
3,3
-4,6
-14,-31
-19,-1
-23,27
-24,-4
-21,-29
-15,-23
-7,16
1,53
4,24
4,-34
1,-43
-4,-26
2,2
16,13
15,-17
3,6
-3,46
-7,17
-15,-4
-23,7
-30,36
-31,53
-32,1
-33,-38
-33,-13
-26,0
-16,-20
-16,-16
-22,-2
-23,-7
-21,-4
-21,-13
-22,-4
-21,21
-24,6
-34,-11
-41,-18
-42,-1
-41,28
-41,11
-39,-12
-32,-16
-23,-4
-21,7
-28,0
-31,-5
-26,-4
-23,-1
-25,1
-28,6
-29,-4
-28,-17
-26,3
-27,18
-29,9
-29,-3
-29,0
-31,9
-34,-3
-30,-9
-20,4
