eog,emg
-61,-3
-66,-1
-64,-1
-59,1
-55,2
-52,2
-50,4
-46,3
-44,-2
-46,-5
-48,-4
-48,0
-43,3
-37,2
-33,-1
-33,0
-34,3
-33,-2
-30,-4
-28,0
-29,0
-30,3
-31,4
-30,1
-29,2
-27,0
-24,-2
-19,0
-15,2
-15,-2
-19,-5
-26,-2
-32,-1
-36,-2
-44,0
-52,3
-54,3
-53,-1
-52,-4
-51,-3
-49,4
-45,7
-39,2
-34,-1
-29,-1
-25,0
-21,4
-18,1
-21,-8
-26,-5
-26,1
-25,0
-23,2
-21,3
-20,-1
-18,-2
-18,2
-19,5
-20,-2
-21,-7
-23,-3
-26,4
-29,4
-29,1
-30,0
-34,-1
-34,-2
-33,-3
-32,1
-32,2
-34,-5
-33,-2
-32,3
-32,3
-33,2
-33,0
-34,0
-34,1
-35,-2
-36,-5
-34,-2
-28,4
-26,2
-31,-1
-36,-4
-39,1
-36,9
-34,6
-33,2
-31,2
-27,2
-23,-2
-21,-8
-26,-7
-33,-8
-40,-7
-44,0
-46,1
-45,2
-43,2
-38,3
-34,8
-34,1
-38,-6
-43,-2
-46,-2
-47,-1
-46,3
-43,4
-40,3
-40,2
-42,-2
-42,-2
-41,3
-39,1
-38,0
-36,0
-34,-2
-30,0
-28,-1
-30,-5
-31,2
-27,1
-22,-2
-21,-1
-24,3
-25,8
-23,1
-21,-1
-21,-1
-22,-5
-22,-5
-21,-3
-18,5
-16,7
-16,1
-19,-4
-20,-5
-20,1
-16,4
-12,1
-10,0
-11,0
-12,-2
-11,-2
-9,0
-10,2
-12,2
-12,-2
-11,-2
-9,5
-5,6
0,2
3,-2
4,-4
3,0
3,0
3,-4
3,-3
4,-1
6,-3
6,1
4,4
5,4
8,3
11,-2
12,-1
14,1
16,-6
16,-5
17,3
21,6
23,4
20,-2
14,0
10,3
12,-1
16,-3
18,-4
18,-2
19,5
25,5
27,-3
25,0
24,5
26,3
29,-1
31,-8
31,-4
31,2
28,-6
25,-4
24,6
25,6
25,0
24,-2
23,1
22,4
23,1
25,-2
27,-3
30,0
33,4
35,4
37,1
42,-2
44,-5
42,-2
41,2
40,2
38,1
34,-3
32,-4
33,-4
33,-3
34,1
36,4
38,3
33,1
25,-1
25,0
31,4
37,1
42,-1
45,-2
43,0
42,3
43,4
45,0
44,-5
40,-5
36,1
36,4
37,2
38,-3
36,-4
32,-2
30,-1
29,2
29,4
30,3
30,-1
30,-2
27,-1
26,-2
27,0
29,-2
29,0
30,2
30,2
30,2
30,-1
29,-2
27,-1
23,1
21,3
23,2
23,1
21,-1
22,-4
25,-3
28,0
31,3
34,3
37,2
39,1
44,-4
51,0
54,9
54,9
52,4
50,-4
49,-10
48,-9
47,-7
46,-6
44,1
47,3
53,1
56,3
53,0
51,-3
50,4
49,5
47,-1
45,-2
44,5
43,3
45,-4
47,-3
47,3
47,6
49,1
51,-2
54,-4
57,-4
58,-1
58,3
60,4
64,0
67,-3
68,-3
69,-2
69,3
67,6
62,3
58,-3
54,-5
51,-4
49,-2
46,0
42,3
38,2
38,0
41,2
41,-2
40,-4
40,-1
43,2
48,4
55,0
59,2
60,4
59,0
58,-6
60,-3
64,3
67,-1
66,-2
