eog,emg
1,11
3,49
7,37
9,12
8,-3
9,-22
10,-35
10,-37
9,-15
7,22
5,57
2,41
-1,-7
-3,-10
1,1
5,-12
7,-20
9,-13
14,14
14,31
8,10
-1,-4
-8,-16
-9,-37
-4,-29
2,-7
7,18
12,18
14,-13
14,-11
12,8
9,8
6,5
6,1
5,12
3,22
-1,6
-3,-24
-1,-4
1,41
2,3
5,-35
4,-27
2,-24
3,-11
5,11
6,38
6,54
8,21
12,-45
13,-38
14,29
16,21
17,-16
15,-19
11,-33
9,-21
10,17
11,32
8,30
5,9
8,-26
9,-22
6,12
4,20
4,18
4,-6
3,-33
2,-23
1,-13
1,1
2,24
4,22
7,5
8,-5
6,9
3,14
2,-21
3,-32
5,7
5,15
1,-11
-1,6
0,11
0,-6
0,-7
-1,-14
0,19
5,32
8,-11
9,-22
10,-11
11,1
9,1
7,-18
4,-9
1,16
0,26
-2,24
-3,-8
-5,-30
-7,-8
-9,16
-10,-2
-10,-19
-8,10
-6,39
-6,22
-6,-22
-5,-28
-2,5
3,11
8,-14
13,-10
16,7
16,-10
12,-21
10,-28
13,-17
17,50
17,74
14,38
10,-2
6,-44
4,-39
1,-16
-3,-20
-6,-12
-8,-1
-9,14
-9,38
-7,32
-5,6
-3,-21
-2,-23
0,-17
2,-16
4,18
5,39
3,19
0,0
0,-36
1,-37
2,15
5,30
6,16
3,4
0,-10
-1,-16
-4,-20
-6,-21
-3,-8
0,31
-1,48
-3,16
-3,-20
1,-40
6,-33
8,-17
9,11
12,46
15,44
14,15
10,-22
4,-41
0,-26
0,-2
3,36
5,34
3,-50
-1,-59
-2,40
0,61
0,16
-3,-15
-6,-13
-6,2
-3,-21
-2,-28
-3,1
-3,7
2,-11
7,-17
11,26
15,65
20,53
21,25
20,-8
16,-28
6,-45
-4,-50
-9,-21
-8,-9
-5,-24
-2,-27
2,5
3,38
-1,46
-4,33
-5,4
-4,-3
-2,-4
-4,-18
-4,-39
0,-39
2,10
0,53
-2,41
-3,-6
-2,-14
1,-8
3,-13
4,6
3,16
0,-1
-2,-16
-3,2
-2,14
-3,-8
-4,-21
