eog,emg
21,30
16,24
11,-22
20,62
30,-31
27,-94
17,55
1,92
-13,101
-9,42
14,-6
28,-43
29,-108
32,13
33,-20
22,-49
10,70
5,62
6,48
13,-36
26,-100
31,-96
25,-76
15,75
6,59
0,-13
-6,59
-13,24
-16,-3
-8,-46
9,-51
23,-14
18,-13
6,126
0,87
-3,-35
-5,-20
0,-47
10,-11
15,-12
13,-31
13,-30
13,-40
6,85
-3,85
-2,22
8,0
14,-69
14,-74
5,-43
-3,16
-3,10
-7,-22
-4,78
11,84
22,-26
17,-29
5,-63
-2,-44
-8,38
-4,24
13,-20
23,-29
16,105
3,151
-8,45
-6,0
5,-82
11,-115
9,-48
6,-34
6,-34
7,-44
5,12
3,70
1,36
-3,4
-8,-73
-10,-66
-6,25
2,88
9,39
10,-23
2,94
-6,78
-12,0
-16,28
-15,-32
-14,-48
-11,-39
-10,4
-8,-7
-4,-71
-7,10
-10,-2
-6,-39
-1,1
-1,-45
-3,-36
-4,-4
-9,49
-14,100
-12,-12
-8,-24
-5,-22
0,-21
1,94
-11,6
-25,-45
-19,36
3,74
13,48
4,-63
-10,-48
-13,-69
-9,-102
-3,36
-1,53
-3,15
-5,-12
-9,21
-15,88
-20,-2
-20,-11
-16,-73
-14,-133
-14,36
-12,11
-11,-40
-13,33
-14,75
-15,114
-19,-13
-24,-32
-27,-19
-28,-64
-27,26
-24,-6
-23,-35
-30,18
-40,59
-44,114
-43,15
-37,-18
-29,22
-25,-37
-26,-18
-33,-43
-40,-81
-37,-23
-29,27
-29,-12
-44,-83
-56,0
-50,36
-39,5
-33,35
-31,18
-30,1
-33,4
-33,22
-29,2
-22,-3
-15,96
-8,42
-8,-15
-14,30
-20,-18
-23,-26
-19,-22
-14,-59
-13,-100
-12,-103
-8,47
-10,65
-15,-17
-12,51
-3,5
-4,-3
-9,-7
-7,-15
-5,62
-10,9
-8,68
3,40
5,-38
-1,42
-5,-16
-10,-52
-9,-29
4,-13
11,16
4,-32
-3,0
-1,-48
4,-90
3,52
1,57
0,36
-2,17
-6,25
-1,47
6,-59
6,-53
3,-95
1,-100
-2,75
-2,47
3,13
3,26
-5,35
-10,79
-13,-20
-11,-26
3,-78
16,-107
13,115
3,97
-1,9
1,23
2,26
0,71
-3,-26
-4,-27
-1,-31
8,-124
16,-39
10,-5
-1,26
0,13
4,-24
2,11
0,-34
1,8
4,8
7,-30
8,49
8,54
8,42
8,34
4,40
-3,9
-3,-64
3,22
5,18
7,-41
11,25
10,20
8,17
6,-83
3,-114
4,-45
8,-65
11,53
14,-6
12,-42
6,107
1,81
2,16
11,-63
17,-25
10,26
5,13
5,103
4,24
9,-46
18,46
22,20
17,8
10,-48
9,-98
11,-67
13,-46
12,68
7,-4
3,-49
10,98
24,97
30,40
26,-32
20,-80
12,-57
1,-52
-7,45
-6,29
2,-33
7,43
11,22
18,-7
23,-46
16,-43
5,12
-2,18
3,107
16,79
23,-17
16,15
12,-14
10,-23
7,-26
8,-47
10,-30
5,-44
1,50
9,57
20,-18
24,-43
22,-84
18,-66
13,-25
10,2
6,-11
3,6
7,142
14,153
18,33
20,-7
17,-52
15,-48
17,-25
19,-10
15,13
9,2
6,103
11,97
15,-6
16,-55
16,-148
13,-141
10,-54
14,26
24,25
26,-30
19,50
11,86
6,34
6,46
13,-49
14,-82
8,7
2,56
-1,85
-2,29
4,62
14,61
17,-55
13,-74
5,-135
1,-115
2,18
2,92
-1,90
6,17
19,41
22,34
15,-83
5,-50
-1,-72
-1,-82
1,16
4,85
11,97
15,4
10,8
3,-13
-1,-97
-6,-47
-6,-52
-3,-17
2,93
14,114
22,94
19,-2
13,6
7,-28
-1,-132
0,-34
10,-9
20,21
24,91
20,78
17,55
16,-15
16,-49
18,-102
19,-177
13,-65
3,0
5,40
13,103
10,88
4,82
6,15
9,32
3,-41
0,-130
11,-21
18,45
13,101
6,80
2,54
-3,6
-7,-120
-1,-52
12,-60
20,-145
16,-21
7,27
-1,80
-9,73
-15,-5
-12,-1
0,-82
12,-21
14,-4
12,-22
10,93
6,55
0,77
0,78
9,11
18,-24
20,-148
19,-79
16,-24
11,-56
8,42
11,37
18,80
16,112
13,27
13,-36
11,-142
7,-70
8,-15
9,-23
8,121
14,95
19,22
14,-6
6,-71
6,-71
12,-124
18,-39
21,53
20,36
14,115
12,76
12,25
11,24
21,-34
31,-72
28,-125
22,-16
20,93
19,86
16,141
11,52
9,-92
14,-74
20,-68
18,-94
13,-130
11,-12
10,22
8,26
8,181
4,69
-1,-45
-1,-39
7,-28
10,-13
4,-24
-5,38
-7,83
-5,102
-3,81
-1,-26
3,-80
2,-75
-5,-24
-7,8
-6,-31
-3,33
1,21
2,5
-1,29
-1,-46
-1,-100
-1,-121
0,-25
-2,54
-2,51
-3,118
-7,77
-5,39
-1,91
-3,-37
-8,-131
-9,-117
-6,-26
-2,92
-1,30
-2,36
-6,26
-10,-20
-5,44
-3,-73
-5,-121
5,-54
12,-13
4,101
-5,58
-4,56
-1,30
-9,-85
-21,-20
-20,-73
-11,-100
-5,-24
-8,26
-11,118
-9,81
-4,72
-5,29
-11,-87
-12,-12
-10,-25
-5,-67
-1,10
-4,48
-9,104
-10,73
-7,40
-4,-20
-7,-155
-4,-74
5,-24
6,-43
-5,7
-16,23
-25,14
-27,-12
-20,6
-9,-19
-1,-45
2,42
-1,8
-11,-14
-9,98
3,113
2,77
-10,21
-18,5
-13,-60
-3,-156
-2,-62
-6,-4
-13,25
-14,78
-2,75
7,8
7,-60
5,-42
4,-89
-4,-109
-11,2
-8,8
-9,34
-8,78
1,82
4,104
-2,-2
-7,-12
-13,-75
-11,-133
6,40
19,79
14,69
5,27
1,-24
1,-9
6,-69
10,-49
1,-86
-10,-67
-2,122
15,84
22,40
20,18
22,-15
23,-13
19,-94
12,-64
9,-56
10,-17
11,132
15,112
20,42
19,-27
16,-64
15,-16
14,-62
13,-19
7,-23
-1,-37
7,132
25,114
30,46
25,16
24,-27
20,-29
11,-84
7,-28
11,-45
12,-85
16,68
20,65
19,-7
20,-25
23,-96
25,-72
21,-13
15,74
7,51
0,-14
4,91
18,93
24,72
18,33
9,-49
2,-55
4,-49
14,52
15,19
6,-64
4,20
13,36
18,-14
14,-55
6,-86
2,-90
3,-74
7,49
6,64
2,0
6,53
12,34
9,30
5,13
8,-16
11,-6
11,-19
10,72
6,71
7,-6
11,16
10,-36
8,-66
9,-46
7,-65
4,-39
10,-10
17,66
20,78
24,24
32,44
35,-16
25,-86
13,-30
6,-20
1,-36
-4,-8
-3,65
7,100
14,9
15,-1
17,-40
16,-88
11,-34
8,3
13,5
22,6
27,106
23,101
15,-7
9,9
11,-37
15,-54
16,6
17,-2
19,-9
21,-50
19,26
13,47
10,-35
14,-12
15,-114
9,-90
5,44
7,63
13,63
20,5
22,52
19,61
13,-13
10,37
8,-11
9,-47
11,7
12,38
8,47
11,-31
23,-4
26,-9
20,-83
18,1
20,-87
20,-127
19,7
16,51
20,86
28,-3
29,-10
27,5
27,-36
28,64
24,17
19,-7
21,51
29,68
30,94
20,-37
10,-42
7,-40
10,-105
18,25
25,-55
21,-81
14,49
22,48
35,88
37,10
35,-15
34,-13
30,-104
29,5
37,-10
43,-46
36,31
30,37
32,94
36,29
37,10
37,18
32,-83
30,-31
31,-26
28,-53
27,24
30,53
32,56
28,26
25,57
26,27
26,-65
24,12
26,7
26,-24
21,-16
18,-36
15,-37
14,-40
18,13
18,-17
16,-40
21,5
27,1
23,32
16,46
11,20
4,-18
1,-42
8,71
16,71
16,-17
15,67
13,57
3,-7
-10,-21
-5,-40
13,-45
19,-65
7,11
-5,-47
-7,-104
-5,32
0,9
12,11
19,9
11,2
-3,54
-18,-5
-27,42
-25,0
-19,-58
-20,52
-23,22
-24,25
-25,42
-23,2
-17,23
-14,-42
-20,-6
-24,-44
-23,-131
-22,21
-19,11
-16,-6
-18,44
-25,34
-35,64
-41,-35
-38,-52
-29,-45
-23,-83
-22,56
-24,23
-24,-38
-23,39
-28,48
-34,86
-38,5
-31,-46
-19,-35
-15,-72
-17,48
-19,24
-22,-38
-29,26
-36,33
-39,54
-39,-10
-31,10
-20,37
-15,-39
-16,37
-22,-9
-29,-85
-34,-30
-33,-45
-29,-38
-24,-44
-26,-14
-35,30
-42,-4
-40,65
-28,81
-18,38
-21,16
-32,-35
-40,-26
-40,-6
-33,67
-30,35
-35,-50
-40,48
-43,46
-44,-14
-36,-6
-27,-32
-31,-79
-39,-93
-39,-18
-41,-40
-46,-52
-49,32
-48,58
-40,78
-31,35
-28,-20
-33,-21
-43,-8
-55,71
-61,22
-50,-39
-33,77
-30,61
-41,1
-50,-25
-47,-45
-40,-42
-43,-80
-49,-10
-52,-24
-50,-51
-45,85
-42,82
-44,8
-42,-28
-40,-60
-41,-20
-44,-44
-49,21
-51,61
-44,-10
-34,61
-29,27
-29,-32
-33,-13
-37,-23
-34,-21
-26,-46
-22,22
-24,62
-31,20
-35,46
-32,-15
-30,-60
-33,-31
-37,-15
-33,31
-20,33
-6,80
-6,55
-17,-31
-22,-16
-23,-80
-27,-124
-23,-76
-12,-59
-3,12
-7,27
-16,97
-15,126
-5,25
-5,58
-19,-46
-37,-98
-41,7
-31,-8
-23,17
-15,39
-6,94
-6,98
-16,-28
-22,-16
-17,-57
-11,-128
-8,-54
-2,-32
4,-8
2,-31
-7,16
-11,69
-7,-38
-8,-9
-14,-18
-12,-27
-5,76
3,97
13,81
15,11
7,15
-7,-2
-26,-91
-36,-15
-18,-21
10,-42
19,48
9,24
-8,1
-21,-24
-22,73
-14,52
-12,-233
-16,-126
-16,8
-16,53
-16,129
-18,36
-16,46
-11,19
-10,-27
-9,-41
-9,-71
-9,7
-9,-5
-12,-5
-17,75
-17,56
-12,39
-7,-13
-9,-35
-14,-67
-16,-116
-15,5
-15,31
-13,49
-9,126
-7,89
-7,38
-8,-36
-9,-57
-8,-92
-9,-143
-13,-22
-11,4
-2,40
4,48
7,2
3,44
-5,-33
-12,5
-15,-1
-16,-66
-5,48
12,72
16,89
9,85
2,15
0,-32
-1,-110
-3,-31
-8,-22
-11,-101
-14,19
-9,30
8,48
19,26
14,-62
6,-49
3,-93
0,-25
2,10
10,14
14,119
10,70
3,59
-1,87
8,13
20,-57
19,-161
7,-60
6,38
11,7
12,112
10,37
9,-13
6,26
0,-56
-2,-76
5,-154
13,-52
19,105
21,62
14,105
4,27
-9,-73
-10,-17
4,-35
17,-36
19,-43
14,19
11,99
6,79
-4,124
-5,16
9,-126
20,-63
25,-50
25,-56
17,-75
3,1
-5,142
-11,113
-12,99
-4,22
3,-98
1,-56
-2,-34
2,-50
7,-78
10,-15
8,31
9,39
14,81
13,-20
9,-109
12,-52
15,-1
15,3
14,22
14,77
11,83
7,55
11,61
17,-39
17,-94
11,-46
10,-32
16,3
23,38
25,97
25,39
22,-28
19,17
19,-62
21,-129
25,-74
29,-23
31,58
29,90
26,114
27,91
27,4
25,26
30,-73
31,-152
24,-91
23,9
35,128
42,87
37,81
32,25
30,-70
28,-28
26,-140
26,-133
28,-8
35,17
41,115
37,61
28,42
26,15
29,-127
38,-24
46,-33
44,-88
39,-6
44,35
51,141
50,112
45,62
36,16
26,-129
34,-42
55,-36
65,-71
65,49
61,43
52,68
44,62
44,32
53,-8
58,-157
55,-56
54,21
53,-28
54,48
57,31
56,23
53,37
56,0
57,-56
55,-146
55,-47
56,-6
59,19
60,152
53,100
44,54
46,26
55,15
56,-45
52,-153
48,-45
43,33
43,71
49,106
46,39
38,8
44,-19
55,-42
59,-102
55,-178
49,-38
46,-9
44,11
44,111
47,64
48,44
42,-28
40,-7
43,1
46,-35
48,65
44,62
32,53
24,61
30,18
40,-24
44,-110
38,-88
28,-80
20,-80
24,75
31,70
34,43
36,64
37,-7
33,-64
29,-107
25,-57
19,-20
16,12
23,136
32,102
32,48
28,39
28,-55
29,-55
27,-94
26,-64
21,-22
12,-15
15,136
21,101
14,16
2,13
-4,-53
-1,-50
5,-55
8,1
9,19
12,-35
18,119
22,112
21,-56
17,-88
13,-122
12,-81
9,-44
5,30
8,38
15,6
19,96
20,63
19,44
15,32
12,-36
5,-28
-4,-33
-1,47
9,62
15,-20
18,45
17,22
11,-47
3,-40
-6,-95
-5,-62
9,-29
21,30
21,27
14,-64
6,11
3,8
3,-14
3,43
6,6
11,-4
9,39
6,99
6,92
6,-3
5,4
6,-30
5,-73
3,-13
6,-28
7,-37
-1,-51
-3,17
6,83
7,6
0,14
-2,-56
3,-105
2,24
0,-1
2,-19
2,-3
-6,51
-15,110
-17,17
-8,31
0,-37
2,-75
-4,43
-8,-11
-6,-54
-2,-29
-4,19
-11,60
-13,7
-9,38
-8,-17
-12,-76
-15,36
-14,47
-10,25
-7,-13
-3,12
3,18
3,-61
-3,-31
-13,-65
-23,-73
-26,20
-14,66
2,32
8,-24
4,8
-5,12
-12,-20
-11,55
-11,19
-20,-22
-24,42
-18,55
-12,64
-11,-16
-12,-19
-10,-25
-10,-91
-12,27
-17,-15
-22,-49
-23,25
-15,-14
-9,-8
-12,-74
-21,-68
-23,-28
-15,-49
-8,88
-8,51
-4,8
-1,111
-7,79
-16,67
-16,-5
-7,-27
-1,-24
-4,-88
-12,19
-16,-7
-13,-42
-9,25
-13,1
-19,19
-18,-37
-14,-24
-16,-5
-23,-72
-26,24
-17,-6
-9,-43
-9,28
-14,21
-20,49
-24,12
-25,36
-26,42
-22,-37
-18,47
-18,9
-15,-51
-11,8
-10,-53
-13,-35
-15,-10
-14,23
-11,61
-8,-33
-7,24
-6,51
-7,-2
-13,39
-20,7
-23,-55
-23,-48
-23,-15
-27,-21
-32,-60
-28,15
-15,58
-8,-2
-12,1
-16,-55
-15,-58
-15,8
-14,66
-10,42
-7,-12
-9,86
-16,82
-21,21
-14,5
-5,-42
-5,-47
-13,-50
-20,12
-23,-4
-20,-51
-13,58
-8,17
-9,-52
-10,-47
-8,-56
-7,-3
-11,-24
-19,5
-24,18
-23,-15
-18,95
-12,59
-6,1
-3,63
-10,38
-17,21
-16,-28
-11,-21
-10,-30
-9,-76
-6,23
-4,-13
-8,-71
-17,-6
-20,14
-15,45
-11,-11
-8,-19
1,7
3,-58
-1,18
-1,-21
-1,-60
-6,57
-11,44
-14,54
-15,29
-9,25
-6,29
-6,-53
-3,24
-5,-25
-10,-84
-12,16
-12,-6
-11,7
-10,-7
-8,14
-4,69
-2,2
-6,46
-13,16
-16,-54
-19,0
-17,-41
-9,-57
-4,-47
-6,-1
-7,35
-8,-33
-11,39
-16,28
-21,-29
-17,9
-8,-25
-2,-5
-5,27
-14,57
-23,25
-25,-26
-15,76
-3,83
-1,11
-7,-17
-13,-62
-17,-53
-20,-31
-16,22
-8,-19
-3,-86
-4,24
-7,13
-11,-52
-18,-21
-24,-45
-23,-7
-10,36
1,63
0,48
-5,-11
-8,73
-12,68
-16,3
-18,8
-20,-35
-19,-40
-10,-18
2,37
1,13
-11,-84
-13,-8
-5,15
-1,-36
-5,-9
-11,-34
-18,-13
-21,-24
-15,32
-10,53
-11,-18
-14,41
-16,-13
-17,-34
-14,33
-9,-6
-9,7
-12,21
-14,65
-13,67
-12,-57
-11,-47
-14,-64
-17,-82
-13,17
-6,9
-7,22
-17,43
-19,70
-10,88
-3,-18
-4,0
-4,-31
-4,-113
-11,-19
-23,-51
-28,-53
-27,15
-26,58
-25,72
-23,-13
-19,-3
-18,-36
-21,-60
-18,35
-6,31
1,25
-3,37
-11,78
-16,86
-21,-38
-24,-16
-22,-31
-11,-76
-2,22
-1,19
-8,4
-16,-30
-15,-4
-9,-17
-7,-132
-13,-60
-17,-68
-13,-36
-8,114
-6,106
-10,96
-14,33
-15,11
-15,34
-14,-73
-8,-29
-4,-9
-7,-31
-8,91
-5,84
-6,38
-8,-30
-3,-61
-1,-55
-3,-146
-4,-56
-1,-9
-2,-1
-9,109
-20,75
-24,11
-12,-5
1,1
2,-19
-4,-70
-8,-7
-12,-5
-20,5
-26,107
-20,83
-7,63
-2,-15
-6,-69
-11,-84
-17,-157
-18,-4
-16,71
-20,40
-26,106
-21,61
-9,15
-5,-29
-8,-30
-9,-26
-13,-105
-20,-6
-18,6
-7,-3
-3,62
-6,21
-12,3
-16,-60
-15,-70
-18,-31
-23,-22
-23,75
-19,90
-19,63
-19,76
-13,13
-8,-34
-10,-92
-17,-41
-21,-2
-18,-29
-15,82
-17,67
-23,43
-26,49
-17,-43
-9,-108
-9,-151
-12,-120
-16,-73
-20,-20
-21,131
-16,144
-14,89
-17,76
-19,-33
-20,-69
-22,-96
-18,-18
-12,74
-14,29
-17,125
-19,87
-18,-9
-21,19
-28,-85
-27,-163
-16,-186
-10,-71
-14,102
-20,82
-25,101
-24,52
-19,-45
-20,5
-23,-70
-19,-99
-17,-50
-20,19
-25,126
-27,87
-20,99
-14,47
-15,-79
-24,-39
-28,-46
-20,-81
-13,-109
-17,-41
-18,106
-11,113
-9,130
-18,34
-27,-111
-30,-45
-28,-16
-23,-22
-23,-22
-27,4
-30,30
-28,23
-26,65
-27,-19
-24,-133
-19,-57
-13,-31
-13,-14
-17,47
-16,60
-9,83
-8,63
-13,75
-11,-15
-8,-149
-10,-75
-14,20
-17,55
-19,39
-15,36
-5,26
-1,1
-3,41
-8,-78
-9,-172
-8,-52
-6,-30
0,26
5,63
7,68
6,78
0,0
-5,40
-3,-57
-3,-118
-2,-1
7,48
16,137
14,96
7,57
3,37
-1,-96
-4,-32
0,-61
6,-146
8,-42
6,-19
5,63
8,81
11,34
11,2
11,-120
9,-63
1,-55
-1,-55
7,65
11,64
10,115
9,95
6,38
2,-3
3,-137
9,-38
15,-1
16,-38
15,65
14,29
9,30
3,35
1,-1
7,-22
15,-115
17,-35
14,4
13,-1
11,120
12,60
15,12
17,4
19,-66
20,-89
19,-163
15,-41
16,71
21,58
24,119
22,59
17,20
12,22
15,-12
19,-79
18,-113
18,29
19,74
17,52
17,102
21,42
20,-32
22,-56
26,-31
26,-55
21,-136
15,-22
9,13
9,43
14,59
18,-39
17,-11
15,-21
14,8
15,-9
15,-24
13,114
12,93
11,52
10,70
13,-6
18,-69
18,-123
17,-49
16,9
16,-18
15,84
13,34
11,-17
15,20
21,-53
22,-61
17,-67
9,-68
9,-23
11,0
11,119
12,99
15,14
12,57
12,-19
19,-57
24,-60
22,-26
14,24
9,14
14,101
23,57
24,-41
18,-1
14,-55
8,-71
3,-24
0,10
-1,34
0,-1
-1,74
1,62
11,-45
19,-81
19,-105
12,-30
2,19
2,64
13,66
18,-7
15,37
15,12
16,-54
18,12
16,-34
12,-65
11,38
11,88
7,68
3,-11
1,17
3,15
3,-59
2,-19
3,-38
5,-47
3,18
-2,68
-3,40
-1,-53
1,-84
2,-98
2,-82
2,16
1,11
1,6
4,80
3,125
-6,109
-12,3
-8,12
-2,-22
-3,-63
-6,33
-9,-21
-12,-51
-13,4
-8,60
-8,62
-13,-48
-11,-48
-5,-93
-3,-126
-6,32
-10,12
-10,-12
-6,23
-2,64
-1,110
-3,-7
-4,-8
-2,-37
0,-64
-3,68
-5,49
-8,2
-14,2
-15,30
-6,50
2,-59
1,-49
-8,-83
-19,-93
-21,61
-20,64
-22,44
-21,4
-20,21
-19,48
-14,-34
-9,0
-9,-55
-17,-110
-22,26
-22,52
-20,39
-19,6
-17,-19
-15,11
-11,-72
-7,-3
-10,-23
-14,-57
-12,108
-11,92
-13,68
-12,15
-6,-36
-1,-24
-2,-55
-5,36
-10,-6
-18,-69
-22,42
-21,62
-14,43
-4,-46
3,-107
4,-106
-2,-132
-9,21
-14,34
-18,6
-17,115
-9,79
-3,83
-6,29
-9,-17
-12,-12
-17,-56
-15,49
-6,-10
0,-56
0,82
-4,43
-11,9
-13,-34
-7,-62
-3,-47
-7,-103
-9,6
-5,29
-1,-40
-3,15
-8,8
-6,14
1,3
3,15
0,54
-7,-8
-12,34
-9,35
-2,-19
2,46
-1,-4
-10,-46
-16,-24
-11,-22
-4,-34
-3,-49
-4,46
-2,63
-2,17
-6,26
-8,-14
-9,-32
-13,-11
-16,8
-15,-7
-15,-77
-12,23
-8,63
-7,-2
-8,22
-7,-45
-5,-37
-2,-18
2,4
3,-7
1,-44
2,94
7,82
9,0
6,27
0,-23
-2,-21
-2,15
-3,12
2,-7
9,-40
13,88
9,84
-1,-58
-7,-64
-4,-79
3,-64
4,-70
2,-56
4,-28
7,-13
5,98
0,58
-3,17
-3,99
-1,60
-2,49
-5,10
-3,-18
-1,-17
0,-63
-1,29
-3,-5
-7,-56
-7,43
-8,-10
-8,-21
-6,-36
-2,-34
1,19
-1,-75
-3,-11
-2,-22
-3,-84
-4,65
-2,54
0,45
0,52
2,39
2,68
1,-31
0,-10
-2,-6
1,-50
5,46
7,-8
5,-67
-1,-40
-4,-7
0,56
4,5
5,19
-1,28
-9,-31
-10,23
-3,-20
1,-66
0,-35
3,-5
6,5
1,-19
-5,71
-8,76
-6,-3
0,0
2,-47
0,-87
2,-26
7,36
10,32
9,4
5,72
2,77
3,-2
5,9
0,-33
-2,-33
4,4
11,2
15,-24
13,-46
10,53
10,56
10,-46
10,-56
8,-97
8,-94
12,-4
14,39
14,31
13,14
12,99
12,102
