eog,emg
1,0
1,-1
3,-4
6,-7
4,-5
1,3
3,3
2,0
-3,6
-4,9
-3,1
-5,-6
-4,-3
-2,-3
-4,-6
-5,-2
-2,8
-1,13
-5,-1
-4,-8
-3,-1
-7,0
-8,-4
-5,-2
-4,1
-4,0
1,0
1,3
-2,6
-1,-2
0,-6
-3,3
-4,2
0,-5
1,-1
0,2
1,1
-1,0
-3,-7
0,-4
2,10
-2,5
-3,-2
0,0
-2,-3
-2,-1
1,1
2,-4
-1,0
0,7
1,1
-2,-3
-3,-3
-1,-1
-2,1
-1,2
2,4
1,-1
-2,-5
-2,-4
-1,1
-4,10
-4,5
-1,-5
-3,-4
-7,-3
-5,-5
-3,3
-4,8
-3,1
-1,-5
-4,1
-6,8
-4,3
-3,-5
-4,-5
-2,-1
-3,-2
-7,-4
-7,1
-6,4
-9,-5
-9,-5
-6,7
-6,13
-8,13
-8,0
-9,-8
-12,-7
-9,-10
-5,-7
-6,0
-7,6
-5,7
-6,-6
-6,-14
-1,-3
-1,12
-5,20
-3,10
-1,-7
-2,-9
1,-7
8,-5
12,-7
13,-8
13,-6
8,-4
1,14
-1,25
-1,11
-3,-3
-2,-12
2,-5
2,7
0,-1
2,-8
3,-8
2,-1
6,15
8,8
5,-7
6,-6
11,-3
9,0
5,1
6,0
5,1
0,-2
1,-4
2,1
0,1
0,0
3,7
1,9
-1,3
2,-3
2,-5
-1,-6
0,-9
3,-5
1,6
1,8
2,-3
-1,-7
-4,5
1,8
4,2
4,0
7,-8
10,-7
5,-1
3,1
5,6
5,6
5,-3
9,-2
8,4
4,-5
4,-4
6,2
3,1
2,-4
4,-5
2,6
1,10
5,5
5,1
2,1
3,-3
5,-9
2,-6
1,-1
4,5
2,5
0,1
2,1
1,-2
-1,-3
2,4
4,-1
0,-6
-3,1
-3,0
-6,-7
-7,-3
-5,7
-6,8
-8,1
-7,-8
-5,-3
-7,8
-6,6
-2,-1
-3,-8
-6,-5
-3,-4
-1,-1
-2,11
1,6
4,0
1,1
0,-6
4,-7
2,-4
-1,0
-1,8
-4,8
-7,-1
-2,0
5,1
5,-12
6,-8
7,9
1,8
-3,2
0,-8
4,-6
3,3
2,0
-1,0
-5,-2
-5,3
-1,7
-2,-4
-5,-4
-5,-3
-6,4
-9,13
-3,3
2,-6
-4,-8
-6,-5
-3,3
-3,0
-3,-2
3,-1
7,3
3,8
1,0
2,-9
4,-4
9,6
16,3
20,-11
21,-15
23,1
19,20
10,16
6,3
5,-1
1,1
1,3
5,-3
5,-12
1,-12
3,1
4,18
4,13
9,-9
10,-17
4,-3
1,10
4,5
2,-2
-1,-2
1,-2
3,-4
1,-2
2,2
5,6
2,7
1,5
4,-3
4,-7
3,-9
5,-9
5,5
2,6
3,5
6,3
5,-10
6,0
11,12
10,2
6,-5
5,-7
2,-3
-3,10
-4,5
-2,-7
-2,-4
0,-1
4,-3
1,-1
-2,4
2,4
4,8
1,4
3,-10
7,-9
5,0
4,4
6,6
6,2
4,-9
6,-7
7,4
4,2
5,-2
7,6
4,8
2,2
2,-5
-1,-9
-3,-2
-2,2
-2,1
-5,5
-4,7
-2,1
-5,-8
-6,-4
-2,7
-1,1
-2,-5
1,0
2,-2
0,0
2,5
7,7
8,1
11,-5
15,-6
15,0
15,3
17,-3
18,-6
14,0
14,6
15,3
11,0
8,0
8,-2
4,5
0,3
-1,-7
-2,-8
-7,2
-8,11
-8,4
-12,-7
-14,-9
-11,-2
-13,6
-13,4
-9,-2
-6,-2
-9,0
-7,5
-4,7
-6,1
-6,-2
-3,1
-4,-2
-6,-8
-5,-15
-5,-6
-9,15
-9,14
-12,2
-19,-3
-23,-7
-21,-3
-22,1
-25,-3
-23,5
-24,2
-27,-8
-27,6
-25,12
-26,4
-26,-7
-24,-8
-25,0
-25,3
-21,-4
-20,-10
-25,0
-24,11
-21,5
-22,-4
-22,-4
-18,-4
-19,0
-19,6
-13,5
-9,-1
-7,-8
-3,-5
0,4
-6,8
-14,1
-19,0
-26,2
-29,2
-25,3
-23,-3
-25,3
-21,4
-16,-2
-15,-1
-14,-5
-9,-6
-9,-4
-10,-6
-6,-13
-3,1
-5,26
-3,19
-1,0
-4,-12
-4,-13
-3,1
-6,-2
-10,-10
-12,-3
-13,-1
-15,5
-13,17
-12,12
-15,-1
-15,-6
-10,-5
-7,-6
-5,-8
1,-5
4,-3
2,9
5,15
9,4
7,-2
7,0
11,3
12,0
14,-11
19,-14
21,2
18,11
20,5
22,1
18,2
16,1
17,-3
16,-5
15,2
18,5
18,0
14,-2
15,-1
18,-2
16,-6
16,-8
19,10
16,20
12,0
12,-5
13,-1
11,-6
12,-2
14,-4
13,-9
16,-8
22,3
22,18
21,18
23,1
23,-11
19,-8
19,-7
22,-11
20,-2
19,5
20,4
16,11
11,8
13,0
13,-5
8,-8
8,-5
10,2
9,7
11,2
15,-1
15,-5
14,-4
17,8
18,0
16,-6
18,0
21,-2
20,-4
18,5
19,8
17,3
13,3
13,0
12,-4
9,-2
10,-10
12,-10
10,9
10,13
14,2
13,-4
9,-6
10,-5
11,-1
8,-6
9,-13
11,7
10,26
10,12
14,-4
13,-8
10,-7
13,-2
14,-1
11,-6
9,0
7,6
1,-3
-1,-3
2,6
4,3
11,-2
24,-4
31,-9
29,-1
24,9
18,7
9,8
6,6
8,1
6,0
5,-6
8,-9
8,-10
4,-3
6,11
7,13
4,5
4,-4
8,-5
9,-1
9,-1
14,-4
16,-3
14,-3
15,-14
17,0
14,26
12,18
13,2
9,-11
3,-10
3,2
3,-7
1,-15
5,-2
10,7
10,10
10,13
11,1
10,-9
8,-4
10,-3
10,-5
6,-4
6,-4
7,2
2,12
-1,10
0,5
-2,0
-3,-8
1,-10
4,-4
1,1
2,-7
6,-3
5,15
5,17
7,5
4,-10
-2,-8
-4,3
-6,-4
-9,-13
-7,-4
-5,2
-8,6
-10,17
-7,10
-7,-4
-10,-10
-7,-10
-4,0
-5,2
-2,-2
0,0
-2,2
-2,-1
1,-10
0,5
-3,21
-2,6
-2,-3
-6,-7
-5,-8
-2,-2
-3,-9
-2,-3
1,8
0,-2
-2,0
0,13
1,10
-1,0
0,-2
1,0
-2,-5
-4,-7
-4,-2
-5,-6
-6,-9
-4,0
-4,16
-7,21
-5,3
-1,-11
-1,-9
0,-2
4,0
4,-4
3,-12
6,-2
5,21
-1,16
-3,3
-2,-6
-6,-11
-7,-3
-4,-2
-3,-6
-3,-11
1,0
1,19
-3,8
-2,0
1,-4
-3,-4
-5,6
-3,-3
-4,-11
-5,1
-1,5
1,-2
0,-1
1,3
2,1
-1,3
-2,-2
1,-11
1,-5
0,8
3,9
3,3
2,2
4,-2
5,-8
0,-7
-1,-3
3,7
2,15
0,5
0,-8
0,-5
-3,3
-1,-3
3,-11
6,-6
12,2
19,0
19,0
12,8
8,3
4,1
-3,6
-4,5
-1,0
0,-9
1,-11
1,3
-2,8
-4,7
-1,8
1,-1
0,-6
1,-6
3,-6
1,-4
0,-3
2,0
1,1
-2,0
0,7
1,5
-1,-1
0,0
1,-1
-2,-1
-5,0
-5,3
-8,3
-11,-4
-9,-9
-8,0
-9,9
-8,2
-8,-1
-14,-2
-15,-3
-9,-5
-6,-4
-5,6
0,6
3,0
1,-5
0,-6
0,6
-3,6
-4,-8
-1,-13
-3,-10
-8,8
-7,23
-6,15
-8,2
-6,-9
-3,-12
-4,-6
-4,-10
-1,-8
-3,14
-7,18
-5,2
-3,-4
-4,0
-4,1
-2,-6
-5,-6
-5,-1
-1,-1
-1,0
-4,5
-2,11
-1,4
-5,-12
-5,-3
-1,7
0,-5
3,-6
7,-1
4,-4
0,-8
3,-1
4,16
2,19
3,7
6,-3
4,-6
4,-1
7,-4
7,-8
5,-5
9,-4
11,-8
9,-4
9,19
11,26
6,7
2,-7
0,-13
-3,-13
-7,-4
-5,4
-5,2
-9,-6
-10,-6
-9,10
-12,18
-13,5
-9,-8
-7,-10
-7,-1
-5,-1
-4,-4
-6,4
-5,2
-2,-11
-4,-7
-5,6
-3,12
-6,15
-10,2
-8,-10
-7,-5
-11,-3
-14,-3
-15,1
-20,-3
-20,-6
-16,-6
-16,8
-20,24
-19,9
-19,-6
-20,-10
-16,-8
-10,-6
-8,-14
-4,-12
0,9
-3,18
-10,6
-13,-2
-15,2
-17,8
-14,2
-9,-2
-9,-6
-10,-1
-8,10
-9,2
-11,-6
-8,-9
-7,-9
-10,-3
-9,3
-7,10
-9,9
-10,3
-9,-5
-10,-10
-11,-5
-7,-6
-6,1
-10,13
-8,2
-3,-7
-5,3
-7,10
-3,2
-1,-12
-3,-8
0,7
3,3
3,-4
4,-2
5,-2
2,1
0,8
1,5
-1,-6
-4,-3
-1,7
0,2
-1,-7
2,-9
4,2
1,8
0,-4
3,-9
5,-3
4,4
8,1
11,1
8,15
7,10
8,-6
5,-12
4,-10
6,-1
4,6
-1,4
1,0
3,5
2,2
3,-8
5,1
3,3
3,-7
7,-3
6,3
2,7
3,5
4,-8
2,-4
2,7
5,2
4,-3
5,-1
9,1
12,-5
11,-13
10,0
7,17
1,12
0,0
2,-10
0,-10
0,6
5,9
6,0
4,-5
5,-8
5,-1
3,3
4,-6
6,-1
3,9
1,5
4,3
3,2
-1,-3
2,-4
5,-6
4,-1
5,3
6,-5
4,0
5,12
9,11
9,-3
6,-13
7,-6
6,1
2,2
3,0
5,1
3,2
1,2
3,4
3,2
2,-6
5,-6
7,0
3,0
4,4
5,1
2,-5
1,-3
3,2
2,2
-1,0
1,10
3,2
3,-11
5,-1
7,1
3,1
1,1
4,-4
3,1
-1,3
-1,4
1,8
2,0
5,-12
7,-12
7,6
7,11
10,-1
11,-4
14,0
24,-9
31,-11
29,4
24,11
17,12
5,9
-2,-3
0,-1
-1,3
-3,-3
-1,-4
2,-9
0,-1
1,7
5,5
4,1
2,-6
4,-3
2,4
0,-4
2,-7
3,9
0,12
1,0
3,-10
1,-4
-1,8
0,-9
-1,-8
-4,13
-2,2
-1,0
-5,3
-4,-7
0,-5
-1,-3
1,11
8,15
10,-13
6,-19
5,3
4,4
0,-11
-3,-2
-5,7
-8,5
-7,3
-2,1
-1,5
-3,-2
2,-11
8,0
9,6
12,1
17,-2
15,-10
13,-3
14,11
11,5
6,-1
5,-3
5,-3
1,1
1,5
3,0
-1,-4
-5,2
-3,0
-2,3
-1,12
3,3
6,-8
4,-9
4,-5
6,7
4,7
3,-19
6,-5
4,32
-2,14
-2,-13
-1,-22
-4,-11
-4,8
-2,7
-4,2
-5,2
-2,2
-4,-9
-10,-6
-12,11
-14,8
-18,4
-16,3
-10,-5
-8,-8
-6,-5
0,1
2,8
1,5
4,-4
5,-2
1,3
0,0
3,-11
0,-11
-4,10
-4,15
-5,3
-7,-2
-3,-10
-1,-7
-4,2
-4,-2
-1,2
-4,7
-7,3
-6,2
-7,-1
-10,-11
-8,-4
-7,11
-13,7
-14,1
-12,-3
-15,-6
-18,2
-16,5
-16,-1
-19,-8
-17,-8
-14,6
-16,14
-15,9
-13,-3
-15,-11
-14,-6
-7,-7
-3,-6
-1,3
6,-2
9,-1
1,8
-8,4
-14,1
-21,3
-23,4
-18,9
-14,1
-12,-8
-6,0
-3,-1
-3,-6
-1,-10
1,-17
-1,-4
-1,21
3,21
2,-2
0,-19
3,-4
7,17
4,5
3,-9
3,-4
0,-4
0,-1
4,9
3,5
-1,5
0,-6
0,-13
-6,8
-8,4
-7,-9
-7,2
-6,4
0,1
3,13
0,11
3,-8
11,-16
14,-17
15,-5
17,13
15,10
14,0
17,-1
16,-8
14,-9
16,3
15,6
9,0
7,-4
8,-4
6,7
4,9
3,0
0,-5
-5,0
-6,9
-5,2
-8,-11
-7,-5
-4,0
-5,-1
-7,4
-4,-3
-1,-5
-1,5
4,5
8,5
8,-3
11,-5
15,10
12,2
7,-7
6,-4
4,-10
-1,0
-1,12
-1,11
-4,4
-4,-12
-1,-13
-2,4
-2,8
2,-3
3,-4
1,5
3,1
6,-6
5,-5
7,0
11,3
10,5
8,6
10,5
7,2
0,-4
-3,-4
-5,1
-11,-6
-13,-7
-13,4
-16,7
-19,7
-16,1
-15,-7
-17,-8
-15,-4
-14,5
-17,6
-16,-2
-10,-6
-9,0
-8,10
-3,0
-1,-13
-1,-7
5,7
9,16
7,5
7,-11
11,-2
10,14
10,2
14,-10
13,-8
10,-7
11,8
10,12
5,-5
6,-4
12,-4
13,-5
14,6
18,0
17,-3
15,3
17,7
18,8
13,4
11,-4
14,-13
14,-10
16,-2
21,1
23,9
22,14
25,1
27,-7
22,-2
19,0
19,0
14,-4
12,-7
16,-1
20,-2
23,-3
30,-2
33,-5
26,11
19,19
13,8
4,0
0,-4
2,1
3,-3
5,-16
11,-2
15,18
13,9
13,-2
14,-5
13,-10
12,-8
15,-1
15,5
12,8
16,-3
20,-4
17,6
15,5
15,-5
13,-6
12,0
16,2
18,-4
16,-9
18,2
19,17
14,12
11,-1
11,-7
7,-6
3,-4
4,-10
2,-12
-3,1
-3,14
-3,15
-8,6
-12,-4
-12,-7
-13,-6
-13,-6
-9,-5
-8,-1
-10,1
-6,11
-2,15
-3,0
0,-7
5,-6
5,-4
4,-1
7,-3
6,-3
1,4
1,9
2,2
-3,6
-7,6
-9,-5
-15,-5
-21,-5
-20,-5
-20,2
-22,3
-20,5
-18,9
-19,0
-20,-11
-18,-8
-19,3
-19,3
-14,-8
-10,-14
-11,5
-9,22
-5,11
-4,-2
-2,-10
1,-13
-2,-7
-3,-3
0,4
0,11
-3,6
-2,-1
-2,3
-6,1
-6,-7
-3,-6
-5,-6
-7,2
-6,12
-7,3
-12,-6
-10,-3
-9,1
-12,1
-14,1
-13,1
-16,4
-17,4
-14,-7
-12,-5
-13,-5
-9,-1
-5,13
-4,5
-3,-7
0,-7
-3,0
-4,6
-3,0
-3,-11
-5,-4
-1,11
3,9
-1,6
-5,2
-7,-2
-13,-1
-16,-7
-14,-4
-15,2
-20,3
-21,1
-21,-2
-22,2
-21,2
-18,-5
-18,-2
-16,3
-4,-1
7,-10
14,-10
20,1
22,10
16,7
9,2
5,0
-1,5
-4,5
-2,-4
-2,0
-5,1
-6,-6
-7,-5
-13,-4
-15,-1
-14,9
-16,12
-18,6
-15,-1
-15,-15
-18,-17
-15,-3
-12,6
-15,7
-15,3
-12,-4
-14,4
-13,15
-7,5
-3,-8
-3,-14
-1,-9
0,-3
-2,-3
-1,6
2,9
-2,5
-5,5
-4,-1
-4,-5
-7,1
-5,4
-1,-2
-2,-7
-2,-1
0,4
-4,4
-9,-3
-9,-6
-8,2
-9,2
-8,-2
-8,4
-11,2
-11,-2
-7,2
-8,-3
-10,-5
-9,5
-8,6
-10,3
-7,-2
-4,-7
-6,0
-5,3
-1,-1
-1,1
-1,-1
1,-8
1,2
-3,8
-4,0
-3,-3
-6,0
-6,1
-3,2
-4,1
-8,1
-8,5
-10,-5
-12,-15
-10,-9
-8,7
-11,12
-10,1
-8,-3
-8,3
-7,6
-3,5
-2,-4
-4,-7
1,-1
5,0
4,2
3,2
6,-7
5,-8
3,1
4,2
3,6
-1,8
0,3
1,-3
-3,-7
-5,1
-4,8
-5,0
-6,-8
-5,-3
-6,4
-12,1
-12,4
-10,-1
-11,-6
-9,5
-4,2
-1,-3
1,2
7,-3
8,-7
5,-1
7,5
8,8
3,5
0,-1
1,-3
-1,-4
-3,-7
0,0
0,10
-4,7
-3,-3
-1,-6
-2,-7
-3,1
-1,8
-5,2
-9,1
-8,3
-8,4
-10,-1
-9,-13
-7,-9
-9,3
-7,1
-2,1
-1,3
-2,-5
1,-4
3,4
1,5
2,-4
3,-7
-1,6
-2,8
2,-4
4,-9
9,1
18,7
20,4
12,5
6,9
0,7
-7,-7
-8,-12
-5,-2
-5,6
-4,8
-3,0
-7,-7
-12,-7
-10,-12
-7,-4
-9,10
-9,11
-4,11
-1,-2
0,-16
3,-5
4,10
2,11
1,3
2,-10
1,-13
3,0
8,4
7,-5
4,-11
8,3
9,21
5,13
4,-1
4,-12
-1,-10
-5,4
-3,-4
-4,-11
-5,-6
-2,1
-1,12
-3,13
-1,1
3,-8
2,-7
2,8
5,14
5,-5
6,-12
11,-7
12,1
8,9
9,1
12,-6
11,-1
10,-1
11,-5
8,-10
4,0
2,18
0,16
-5,2
-5,-13
-4,-3
-7,15
-8,4
-4,-11
-6,-13
-7,-7
-4,-1
-2,9
-3,11
1,-8
5,-9
4,7
5,6
8,-1
6,-7
4,-6
7,8
9,1
6,-7
7,4
7,3
4,-6
4,1
8,5
7,0
5,2
6,0
6,-7
3,-3
6,7
8,7
5,0
3,-1
5,-1
4,-2
4,-3
7,0
9,3
8,0
9,-7
11,-4
9,5
7,5
8,8
10,9
13,-6
17,-10
16,2
11,7
11,2
13,-6
11,-14
11,-13
14,13
11,27
8,-2
11,-16
12,-10
9,0
8,9
10,2
6,9
2,9
3,-16
4,-16
7,5
12,11
11,1
8,-2
10,6
15,8
13,0
11,-7
11,-9
10,-11
11,-5
21,3
30,7
32,3
33,-4
29,-2
17,3
6,3
1,-1
-1,3
2,16
9,11
12,-4
9,-16
9,-24
11,2
10,18
11,3
14,-8
12,-2
9,5
11,-1
11,-8
10,-4
14,11
16,14
10,-4
5,-3
5,-4
4,-11
3,0
5,6
2,-1
-1,-8
5,-12
11,-7
10,17
8,21
8,-1
5,-7
5,-4
9,4
9,6
5,-7
4,2
4,12
0,0
1,1
5,-1
4,-5
2,15
4,22
3,13
-1,3
2,1
7,7
7,3
7,0
10,5
8,-15
4,-38
5,-39
6,-34
3,-7
5,3
7,-6
4,1
3,-9
5,-11
2,14
-2,29
-1,19
-2,5
-8,-9
-9,-16
-9,-7
-11,-5
-10,6
-7,34
-8,40
-11,35
-10,33
-12,18
-15,-15
-13,-53
-9,-44
-9,15
-8,20
-4,-31
-3,-54
-4,-54
0,-37
1,-3
-2,25
-2,47
-1,48
-5,23
-6,18
-7,27
-11,10
-16,-1
-16,-2
-19,-5
-23,6
-19,3
-13,-13
-13,-20
-15,-22
-16,-9
-19,7
-20,8
-15,-2
-12,-8
-11,-14
-7,-8
-3,4
-3,5
-2,-2
1,-5
-1,-4
-2,0
1,3
2,-1
-1,4
-1,17
0,0
-3,-5
-3,16
1,8
1,-15
0,-20
1,-7
2,9
0,10
0,-3
0,-1
-4,3
-4,-3
0,14
0,21
-1,-7
2,-22
1,-21
-3,2
-3,31
-1,6
-1,-17
0,-10
4,3
4,18
2,-3
6,-20
8,-6
7,0
8,5
7,9
3,4
0,3
0,5
-3,-4
-6,-2
-1,-1
5,-15
8,-8
11,6
9,10
0,14
-7,9
-7,-4
-5,-7
-2,-9
5,-8
11,8
11,11
12,-2
12,-11
7,0
2,16
1,13
-4,-10
-9,-16
-9,-1
-14,-1
-22,-7
-24,-9
-22,5
-24,11
-23,-4
-17,-9
-14,5
-13,18
-8,8
-5,-1
-3,-5
3,-9
8,-6
6,-2
6,-1
8,5
4,-1
-2,-11
-1,1
0,10
-3,6
-4,-2
-4,-5
-9,-3
-11,-4
-8,1
-7,7
-7,3
-3,1
-2,-1
-4,-2
2,-5
9,-3
10,2
11,0
16,-1
14,12
7,19
6,-3
4,-20
-2,-7
-3,3
-1,-2
-4,-5
-7,-5
-6,-1
-7,9
-10,17
-9,12
-8,-5
-10,-15
-8,0
-3,9
0,-3
4,-12
9,-8
9,-5
6,-1
9,7
11,9
6,-4
2,-2
-1,14
-4,3
-4,-8
-2,-5
-5,-2
-7,2
-4,-2
-3,4
-7,7
-9,-7
-7,-4
-8,9
-6,9
-2,-2
-3,-8
-4,-4
1,-3
6,-4
7,5
8,4
8,-1
4,7
4,2
5,-4
1,-6
-3,-5
-3,5
-3,2
-5,-2
-5,5
-4,0
-6,-6
-5,-2
-1,0
-2,4
-7,2
-7,-1
-8,1
-13,0
-12,-6
-8,-5
-8,5
-4,8
3,0
5,-11
4,-2
5,9
2,4
-2,5
0,-1
3,-8
1,-5
-1,2
-1,8
-3,-1
-1,-10
7,-6
15,-2
18,-6
22,-6
20,9
7,23
-5,15
-6,-1
-5,-8
-5,-7
0,1
5,0
5,-1
7,-4
9,-11
8,-3
7,8
10,12
8,1
6,-8
8,0
7,4
4,-1
6,-7
9,-10
4,3
1,18
0,11
-6,-3
-12,-12
-10,-9
-7,-4
-8,0
-5,10
0,7
-1,-1
-1,-7
3,-7
3,5
0,10
0,3
-4,7
-10,0
-10,-16
-7,-10
-7,-6
-8,-3
-7,5
-11,7
-16,8
-17,5
-19,-1
-22,-1
-18,-1
-14,-4
-15,0
-14,9
-9,8
-9,-6
-11,-10
-7,-8
-6,-3
-10,10
-11,15
-9,1
-12,-10
-15,-8
-14,-1
-16,3
-21,-3
-24,-7
-24,-3
-25,8
-26,13
-28,7
-32,-3
-31,-10
-27,-6
-27,-7
-30,-9
-28,10
-27,25
-29,6
-26,-13
-25,-12
-29,-3
-32,4
-31,-3
-34,-7
-37,-1
-34,6
-31,12
-30,5
-27,-3
-27,-2
-31,-5
-31,-5
-25,-5
-23,3
-25,11
-23,1
-20,-4
-19,-3
-19,-6
-19,2
-22,3
-22,0
-19,2
-20,-4
-22,2
-20,10
-19,-2
-20,-12
-17,-7
-14,2
-17,8
-21,0
-21,-2
-24,13
-28,5
-25,-18
-23,-13
-27,3
-27,8
-24,5
-23,4
-21,9
-18,2
-20,-6
-21,4
-17,3
-16,-14
-19,-15
-18,-3
-14,8
-14,7
-12,4
-7,6
-10,0
-15,-5
-14,0
-13,5
-17,-3
-17,-10
-14,-5
-12,-4
-11,-1
-9,4
-11,5
-16,6
-14,5
-9,2
-7,2
-6,-1
-7,-11
-12,-9
-14,10
-12,10
-10,-5
-4,-15
9,-15
16,1
17,9
20,11
19,14
7,7
-1,-2
0,-5
1,-3
1,3
4,-5
7,-14
5,0
4,5
5,-3
4,4
4,9
6,-1
7,-10
10,2
13,19
12,16
5,-11
1,-27
1,-10
0,0
2,-2
8,9
8,14
4,1
4,-3
6,2
5,2
7,-1
12,0
15,1
18,-7
18,-1
10,7
2,2
4,0
11,-7
15,-8
18,0
18,-4
12,7
10,21
13,0
13,-13
8,-9
6,-3
6,11
6,5
12,-3
18,-3
18,-8
19,0
21,3
21,-7
21,-1
20,14
15,5
11,-9
14,-4
16,4
10,23
7,3
11,-19
14,1
14,-1
17,-11
17,-5
9,10
6,10
9,-3
13,0
20,8
31,-1
35,-18
36,-10
40,10
41,10
38,-6
39,-7
39,-5
32,2
26,18
32,4
