eog,emg
-8,-1
-7,-2
-7,-3
-8,2
-7,4
-7,-2
-8,-4
-8,-2
-6,0
-5,3
-5,2
-4,1
-4,4
-5,7
-4,1
-3,-10
-6,-10
-8,0
-9,6
-11,4
-13,0
-12,1
-11,1
-11,-5
-10,-3
-10,2
-11,3
-10,3
-7,-2
-5,-3
-4,1
-2,1
-1,2
-1,3
-1,-2
-1,-6
-2,-3
-1,-1
0,0
-1,2
-2,2
0,6
1,8
0,-1
0,-5
0,-2
0,1
2,1
6,-7
8,-7
10,2
13,5
15,5
16,0
17,0
16,4
13,-1
12,-4
15,0
15,2
15,-3
14,-6
11,-4
8,-1
7,2
8,5
8,6
10,2
14,1
15,-1
15,-1
16,3
17,2
17,4
18,3
19,-4
19,-7
21,-5
23,-1
22,1
21,0
23,0
23,-4
21,-1
18,5
16,6
15,9
18,8
20,1
20,-8
20,-11
21,-7
20,1
21,9
22,5
23,-1
21,-4
19,-6
20,1
20,2
20,-7
19,-6
17,3
14,3
12,-3
10,1
7,5
7,4
10,1
10,-2
9,0
9,0
10,-5
8,-3
8,3
8,5
6,6
6,1
9,-3
9,-4
7,-3
7,-1
6,-3
3,0
1,6
2,7
1,5
0,-2
0,-6
1,-5
2,-1
3,3
3,3
2,3
4,2
5,0
4,-2
3,-3
4,-4
3,-2
2,2
1,2
-1,-1
-3,-1
-2,0
1,3
2,4
3,0
5,-1
6,-1
5,-3
5,-4
6,-4
6,-1
6,3
6,3
5,0
3,-2
2,5
0,8
-3,-1
-2,-10
-2,-13
-3,-5
-4,10
-5,10
-7,-1
-10,-2
-10,-1
-11,-4
-12,-2
-11,1
-12,4
-14,3
-13,-5
-11,-6
-11,4
-10,5
-9,0
-11,-3
-15,-2
-17,4
-20,-4
-22,-7
-21,3
-20,6
-21,6
-22,1
-21,-4
-21,3
-22,2
-21,-5
-20,3
-19,1
-16,-3
-12,2
-10,-2
-8,0
-5,-4
-5,-1
-6,8
-6,-1
-8,-8
-7,-8
-5,-6
-3,5
-4,7
-7,-5
-10,-4
-13,-4
-14,-5
-12,3
-9,4
-5,2
0,1
5,-5
6,-4
6,8
8,10
7,3
4,1
4,-8
6,-13
8,-6
9,9
8,8
6,-13
5,-8
7,2
8,7
9,23
9,9
7,-22
4,-22
6,-12
10,4
12,17
13,6
16,-6
17,-2
16,-3
14,-10
13,-3
12,5
14,19
15,24
14,-3
14,-20
13,-18
12,-10
13,10
17,16
20,-11
20,-22
22,-7
25,9
26,18
26,10
29,14
31,25
31,4
30,-21
29,-19
24,-8
22,2
22,18
20,29
16,12
15,-9
15,-10
15,3
15,9
16,-8
14,-16
12,-8
8,1
4,5
2,-3
3,3
4,11
6,4
9,8
11,9
12,-2
13,-9
14,-5
16,1
16,2
15,2
12,2
12,0
15,2
15,5
12,2
7,5
5,-2
6,-18
7,-6
8,2
7,-1
6,3
8,1
9,-2
9,2
11,0
13,-4
13,2
13,2
14,-2
14,-1
13,-6
14,1
12,10
9,0
9,-3
11,2
12,0
13,-2
14,-7
12,-5
10,8
10,7
11,2
11,2
12,2
10,0
4,-5
1,-7
3,-1
3,7
2,3
1,-6
0,-5
-1,-1
-1,0
-1,2
-4,5
-5,7
-4,2
-2,-6
0,-4
1,0
0,0
-1,4
0,0
3,-7
4,2
3,5
3,1
2,0
0,-3
0,-2
-2,1
-4,3
-4,4
-2,6
-3,2
-3,-4
-1,-2
-1,-4
-1,-7
1,1
0,3
-2,2
-3,-3
-2,-12
-5,-12
-8,-2
-11,15
-13,15
-14,8
-11,7
-7,-10
-4,-14
-2,9
-2,23
-5,9
-5,-16
-4,-23
-5,-5
-6,6
-6,-8
-5,-2
-6,22
-5,-14
-3,-37
-3,-3
-3,-5
-3,-15
-4,-15
-5,-6
-4,19
-3,-3
-3,-7
-2,26
0,14
0,-13
0,-13
4,1
7,8
7,6
11,9
12,2
10,-31
12,-41
16,-3
18,17
19,14
21,19
22,7
23,6
26,9
27,-1
25,-4
25,-9
27,1
28,22
31,14
36,3
35,0
30,-3
26,3
26,2
28,8
28,21
25,4
21,-19
19,-11
20,7
21,23
18,19
18,-4
18,-7
17,10
16,5
15,-15
11,-10
7,-4
9,-4
10,8
9,9
8,0
5,-10
3,-16
3,-3
3,8
2,-1
1,-9
2,-1
3,6
5,0
7,-1
5,6
1,6
0,3
3,-2
3,-8
3,-3
4,7
7,6
9,0
8,-6
6,-15
7,-12
11,-1
11,8
7,13
4,6
4,-4
4,-6
3,1
5,5
7,-8
5,-15
2,0
3,13
7,13
11,0
13,-12
14,-7
15,5
17,2
18,-5
15,0
14,4
13,4
10,-9
9,-16
8,12
8,23
5,-9
2,-31
3,-15
4,7
5,8
4,-7
3,-3
5,12
8,-2
11,-5
13,0
17,-9
19,-1
17,4
14,0
13,5
11,3
9,0
8,8
5,4
2,3
0,7
-2,1
