eog,emg
5,75
1,-179
0,9
1,84
4,-3
9,88
10,-33
3,-14
-3,-38
-2,-73
0,83
0,51
-3,84
-4,-43
-5,-151
-4,16
-4,23
-2,30
-1,-64
-3,-15
-4,120
-2,-23
1,75
2,62
0,-103
-1,15
1,25
0,-44
-1,-121
1,-29
3,90
3,-27
2,81
2,59
6,-34
8,47
7,-40
6,-37
7,-113
10,-64
12,103
13,-8
11,74
8,42
6,-46
8,56
10,-43
10,-28
8,-71
7,-35
8,103
7,-44
6,74
5,81
6,-58
10,21
12,-46
12,-32
10,-73
9,-22
7,97
2,-43
2,74
5,72
9,-81
10,7
10,-4
7,-12
3,-84
1,-31
1,101
5,-19
10,71
10,47
7,-82
4,17
4,-16
5,-6
8,-50
9,-22
8,82
6,-40
5,68
4,61
3,-84
4,-7
4,-39
2,3
2,-38
2,-29
3,107
5,-11
6,48
7,20
8,-95
9,36
8,7
5,-22
4,-68
5,-20
6,102
4,-3
3,73
3,35
2,-115
0,-20
-3,-5
-2,23
2,-52
4,-29
2,80
0,-55
-1,44
-1,30
0,-72
1,53
2,13
1,4
-1,-56
-2,-13
-2,95
-3,-50
-4,33
-5,12
-4,-76
-1,56
1,5
4,10
6,-41
6,-17
4,83
4,-74
3,27
0,29
-2,-76
-1,54
2,18
4,24
4,-50
2,-49
1,75
1,-61
3,20
5,16
6,-75
5,74
2,32
0,17
0,-53
3,-35
4,83
5,-64
7,18
8,3
6,-78
6,72
8,26
11,46
12,-28
14,-72
13,41
7,-64
-2,57
-8,52
-8,-82
-3,58
0,12
0,-3
2,-65
4,-81
3,46
2,-57
2,69
3,85
5,-67
6,52
6,37
6,9
5,-84
3,-92
1,33
0,-44
2,87
4,72
7,-63
7,75
6,43
5,-2
4,-91
4,-105
3,24
2,-39
6,77
8,83
8,-27
8,68
8,14
9,-21
9,-106
7,-83
4,50
3,-43
4,87
6,84
4,-57
4,58
6,24
8,-9
9,-92
9,-82
8,32
6,-65
6,83
7,99
8,-14
7,90
6,2
4,-50
2,-126
2,-90
0,60
0,-36
3,83
5,84
4,-28
3,66
4,-19
5,-33
3,-101
2,-86
1,76
2,-24
3,82
3,84
1,-63
0,35
-2,-13
-1,-26
1,-70
4,-65
4,58
1,-27
1,97
1,88
1,-72
1,41
1,7
2,-28
4,-90
4,-66
3,76
-1,-38
-3,71
-3,88
-1,-65
3,36
5,-9
5,-30
4,-61
2,-40
-1,86
-2,-29
-1,48
-2,51
-1,-77
1,44
3,7
3,-21
5,-62
7,-41
7,87
7,-35
8,53
6,55
4,-78
4,48
2,4
-1,-33
-2,-85
-1,-43
0,112
1,-20
1,34
-1,18
-2,-90
0,56
2,18
3,-5
1,-48
-2,-31
-4,85
-4,-45
-2,36
-2,30
-4,-78
-4,61
-3,17
-2,3
-2,-51
-4,-59
-4,48
-3,-71
-1,32
0,41
1,-43
0,100
-3,28
-5,-6
-3,-54
-1,-47
-1,55
0,-79
0,23
-1,37
-3,-71
-5,85
-4,80
-2,40
-1,-99
-1,-111
-3,51
-4,-61
-4,35
-3,36
-2,-66
0,104
-1,72
-2,29
-3,-69
-3,-93
-4,30
-4,-77
-2,35
-1,36
0,-60
3,104
7,49
7,61
5,-8
2,-79
-5,17
-13,-131
-19,-6
-21,29
-18,-75
-15,129
-14,58
-16,-21
-16,-76
-14,-98
-14,45
-13,-43
-10,43
-8,62
-9,-55
-12,84
-15,65
-15,24
-14,-64
-12,-72
-9,36
-8,-94
-8,32
-8,60
-9,-66
-12,86
-15,44
-17,-9
-15,-60
-11,-52
-10,37
-10,-81
-8,63
-6,71
-7,-80
-9,77
-9,44
-11,-6
-13,-69
-10,-62
-7,63
-7,-69
-10,20
-9,61
-9,-30
-9,83
-10,25
-11,-14
-12,-78
-12,-67
-11,43
-10,-60
-13,51
-16,54
-16,-40
-14,97
-14,19
-18,-28
-19,-82
-18,-75
-17,58
-17,-46
-16,56
-15,67
-15,-58
-15,74
-16,31
-17,-20
-19,-99
-20,-77
-20,71
-20,-46
-19,53
-19,65
-21,-66
-22,43
-23,-36
-22,-23
-19,-5
-17,-14
-16,80
-14,-55
-15,40
-18,50
-19,-85
-17,57
-15,5
-15,-11
-15,-36
-14,-34
-14,94
-14,-53
-11,20
-9,42
-9,-91
-8,38
-8,-1
-11,-2
-13,-7
-13,-10
-11,68
-11,-74
-12,21
-13,35
-14,-95
-13,57
-12,18
-13,2
-16,-12
-18,-29
-18,80
-16,-62
-11,21
-9,50
-11,-99
-12,44
-12,15
-12,-1
-9,-14
-7,-26
-7,81
-8,-54
-9,-2
-12,2
-13,-109
-11,58
-8,47
-6,32
-7,-11
-7,-27
-7,93
-7,-48
-8,-12
-9,-33
-10,-128
-8,87
-9,70
-9,29
-9,-16
-7,-34
-4,59
-4,-97
-6,-41
-6,-23
-6,-80
-7,125
-9,86
-11,48
-8,-12
-5,-41
-3,58
-1,-104
2,-25
3,-6
1,-104
-1,104
-2,89
-2,60
0,-10
2,-61
2,46
1,-102
0,-23
-1,-1
-3,-100
-2,118
-1,95
-1,51
2,-15
3,-73
0,36
-4,-104
-5,-20
-3,13
-2,-96
-3,101
-3,90
-1,84
-1,22
-5,-71
-7,5
-2,-141
8,-28
12,22
11,-83
6,133
-3,110
-14,52
-22,-26
-22,-102
-19,6
-16,-109
-15,-27
-13,16
-10,-83
-7,117
-4,105
-4,39
-6,-20
-8,-64
-8,23
-8,-88
-7,18
-5,35
-6,-101
-7,83
-6,84
-6,35
-7,-34
-7,-72
-5,45
-3,-59
-3,19
-6,10
-10,-115
-9,101
-6,91
-3,21
-2,-38
-3,-69
-3,55
-5,-73
-6,-7
-3,38
0,-83
1,78
-1,64
-2,18
0,-15
1,-51
3,34
6,-85
6,2
5,30
2,-91
0,72
-3,36
-5,19
-5,-3
-5,-55
-5,65
-4,-57
-2,-2
-2,31
-4,-82
-6,83
-7,54
-6,-5
-3,-59
-1,-58
-1,75
-2,-57
0,29
3,40
5,-110
6,74
7,28
7,-16
3,-1
1,5
4,105
6,-93
4,-51
1,-8
2,-105
7,76
10,9
9,17
7,54
6,-13
6,68
5,-63
2,7
2,7
4,-140
5,67
5,51
6,11
6,7
5,-7
6,101
9,-70
13,-32
13,-1
13,-120
14,68
13,36
12,4
13,17
13,-11
15,99
16,-45
17,-13
17,-4
14,-151
13,29
14,36
12,25
10,18
10,-15
12,131
13,-7
13,-26
11,-25
11,-158
12,31
14,26
14,-9
14,25
14,19
14,110
13,-50
13,-35
12,-18
11,-134
9,53
10,46
15,17
21,39
22,13
19,74
14,-74
11,-11
11,-2
13,-140
14,60
13,50
10,13
7,20
9,-7
13,77
13,-70
13,-18
13,0
12,-123
11,68
10,50
9,19
9,23
13,-10
17,74
15,-83
10,-25
6,19
7,-113
10,69
12,60
13,18
14,4
14,-27
11,75
7,-76
7,-26
7,11
1,-106
-3,69
-1,42
6,35
10,16
11,-64
12,53
10,-61
9,5
10,25
13,-130
16,78
16,59
14,0
14,15
15,-37
20,49
24,-64
25,15
23,44
15,-125
3,59
-6,46
-8,-23
