eog,emg
24,-5
28,-12
35,-1
39,14
40,-11
38,-4
42,40
50,22
51,-2
45,-16
37,-25
34,-2
29,0
23,-8
25,-7
36,-1
42,14
38,21
37,12
41,-19
36,-21
30,-8
33,-24
37,9
35,49
32,9
28,-13
28,-3
30,-12
30,-1
33,7
37,2
34,13
31,-4
33,-25
32,-12
23,-1
14,20
14,29
22,1
34,-18
42,-14
38,-10
32,-7
36,8
44,22
44,10
40,-7
37,-7
35,1
38,1
39,-3
31,2
24,5
23,0
24,-7
25,-4
24,5
12,6
-3,-1
-2,-10
12,-1
14,9
11,-5
17,-5
20,0
17,-2
15,12
12,2
10,1
12,12
16,-6
14,-10
9,-7
9,-11
11,4
18,13
25,4
28,2
30,3
28,-4
19,-4
13,-9
21,-7
36,8
32,9
12,4
4,-9
9,-10
9,5
1,8
-2,2
-1,-8
-2,-3
0,10
4,7
5,-6
8,0
2,2
-5,-4
-6,-3
-3,-4
-1,-5
-2,1
-5,12
-3,4
0,-2
1,-4
-5,-2
-15,1
-12,-13
0,2
1,26
-5,7
-2,-13
11,-12
23,-6
24,4
15,10
3,8
-6,5
-14,-11
-21,-9
-22,10
-20,-4
-21,-14
-22,-8
-18,3
-20,8
-22,6
-17,7
-15,5
-18,9
-19,2
-19,-11
-18,-8
-16,-6
-12,5
-7,7
-5,-5
-6,-7
-6,0
-12,6
-16,3
-5,12
4,12
1,-7
-2,-7
1,-6
-2,-5
-3,1
4,-9
11,-10
14,9
12,9
4,-2
-1,-11
0,-3
3,7
5,7
6,14
4,3
-5,-4
-14,-5
-14,-13
-15,-4
-21,3
-16,9
-8,7
-9,-7
-15,-9
-14,7
-17,18
-26,3
-24,-11
-10,-8
3,0
9,-1
7,-11
0,-4
-2,10
1,4
-2,2
-3,4
4,1
13,8
20,-2
23,-6
21,6
19,3
24,-4
30,-20
28,-17
15,15
2,24
-8,0
-13,-12
-12,-6
-9,-4
-10,-8
-10,-1
-7,15
-6,13
-9,-8
-13,-26
-17,-4
-23,24
-26,13
-23,3
-13,-2
-2,-3
4,4
4,-7
-1,-8
0,3
0,-2
-1,-8
4,2
9,5
9,1
9,-3
10,-8
8,3
10,14
14,0
11,-3
8,-2
10,-9
11,1
13,5
13,7
9,1
1,-4
-1,7
2,-2
6,-8
5,-2
4,1
5,6
2,-3
-2,-6
2,6
7,-10
9,-8
11,15
14,11
12,2
9,-8
4,-21
2,-6
5,13
4,10
-4,16
-9,2
-6,-14
-2,3
1,1
4,-7
2,-5
-6,-4
-4,5
6,-1
6,-6
4,7
3,9
1,9
6,-6
9,-17
-2,12
-11,10
-10,-4
-6,5
6,-5
24,-8
36,-1
34,-12
22,-7
11,14
-9,8
-30,5
-15,5
30,-2
44,5
19,-5
6,-16
11,-3
7,-6
-4,0
-12,18
-6,14
22,3
42,-8
28,-10
9,-8
5,-3
6,4
3,5
-3,6
-2,-2
5,-6
-1,-1
-14,0
-13,5
5,2
15,-4
7,-3
-5,-7
-12,-9
-20,5
-26,31
-24,22
-16,-3
-13,-15
-10,-16
-1,-1
-3,3
-22,-1
-28,1
-14,-3
-4,-8
-7,-13
-16,-8
-16,11
