eog,emg
-47,-5
-60,-12
-65,-19
-64,-26
-71,-23
-78,3
-69,31
-56,6
-57,-35
-65,-5
-71,29
-75,25
-78,18
-77,-8
-72,-7
-63,12
-54,-4
-56,-5
-63,9
-66,3
-68,-1
-71,5
-69,-2
-62,-11
-62,-20
-68,-10
-70,18
-71,18
-68,-5
-59,-26
-57,-11
-68,19
-67,11
-52,4
-47,-3
-53,-3
-54,5
-53,-27
-59,-32
-60,10
-58,29
-60,23
-57,4
-52,-11
-57,-4
-62,0
-58,-9
-54,-8
-64,10
-76,11
-73,7
-62,2
-64,-22
-72,3
-78,11
-84,-11
-80,7
-78,16
-83,3
-91,-13
-92,-22
-88,-11
-92,8
-101,4
-104,2
-99,12
-89,3
-82,-2
-83,12
-82,8
-79,-11
-85,-14
-88,-4
-86,0
-86,-1
-84,3
-76,-4
-76,8
-84,13
-90,-16
-92,-19
-91,-3
-84,1
-77,8
-80,15
-85,1
-80,-6
-78,0
-81,1
-74,7
-68,0
-71,-22
-77,-15
-73,15
-65,19
-59,-10
-57,-30
-59,-12
-56,16
-43,26
-41,11
-53,7
-57,9
-45,-20
-39,-35
-42,-17
-44,21
-44,31
-49,1
-48,2
-37,3
-27,-24
-24,-19
-23,4
-25,13
-28,0
-24,-18
-22,0
-24,21
-21,1
-21,-16
-28,-6
-22,1
-2,12
3,12
-10,-1
-18,-6
-13,-6
-7,19
-5,16
-4,1
-1,4
6,-24
9,-17
1,6
-4,17
4,39
8,-43
6,-91
8,-9
8,19
3,36
5,44
12,10
12,13
9,13
10,13
8,27
7,-19
14,-58
20,-13
18,7
15,-15
15,-14
9,-22
6,-17
15,30
23,47
20,31
18,14
19,-71
20,-78
24,40
28,47
24,12
23,29
30,33
30,38
20,-3
14,-43
20,9
25,41
28,19
32,-13
27,-59
17,-63
16,-24
24,16
28,54
32,21
32,-24
23,-3
19,-26
23,-26
25,25
21,7
12,-7
7,-1
9,4
17,7
21,-24
15,-13
10,18
10,6
13,-7
21,-1
27,8
29,0
31,-19
34,-13
33,18
28,13
26,-3
30,7
29,3
21,-16
17,-6
21,12
27,7
33,-4
36,4
30,6
25,-12
27,1
27,12
27,-9
33,-7
38,1
35,-3
35,5
38,17
37,13
36,-9
36,-30
33,-15
30,20
33,10
32,11
27,17
28,-25
32,-25
35,2
37,12
36,17
30,6
27,9
34,15
39,-28
38,-47
35,-7
32,16
29,17
31,11
35,19
30,20
22,-12
17,-34
12,-8
10,24
15,5
15,-10
10,-4
10,6
13,23
13,17
12,24
14,-8
12,-69
7,-28
7,12
7,7
4,22
5,17
5,1
3,-2
1,3
5,-5
8,-26
8,-16
6,14
3,50
0,19
-1,-53
3,-15
0,22
-7,15
-8,27
-5,5
-4,-34
-1,-51
-1,-11
-7,40
-8,33
-5,-22
-6,-36
-7,11
-4,10
-5,-13
-9,16
-13,32
-19,35
-23,25
-14,-6
-5,-8
-2,-17
5,-29
14,-28
11,-12
1,20
-2,1
-7,-54
-13,-40
-10,18
-4,33
-8,8
-10,-6
-4,7
0,10
-4,-23
-4,-16
-2,37
-5,32
-6,-15
-2,-17
-3,6
-5,14
-4,16
-7,-3
-7,-13
0,-5
3,17
0,29
1,-19
1,-54
-4,-16
-7,26
-6,23
-5,2
-4,6
-1,9
-3,-26
-9,-22
-11,28
-9,35
-6,-14
-1,-48
4,0
3,35
-2,-3
-2,1
1,10
0,-4
-2,20
-2,-12
-7,-45
-10,1
-9,0
-11,23
-11,34
-4,-41
1,-12
0,41
-1,-1
1,-29
0,-21
2,11
7,56
8,14
5,-50
3,-2
7,30
7,-24
8,-30
12,13
10,11
2,-6
-1,-9
-1,4
-4,24
-4,15
1,-2
1,-11
1,-28
4,-37
2,5
0,48
3,29
2,-15
-1,-35
2,0
7,28
4,2
6,-6
11,-6
9,10
7,20
7,-21
3,-15
-1,-7
2,-20
4,11
0,20
-2,21
1,18
-1,-29
-4,-25
0,13
2,-2
-1,2
3,13
9,0
5,14
0,-9
0,-28
-2,3
-2,9
2,-6
2,-12
-4,3
-4,9
-2,11
-6,15
-7,-16
-4,-17
-6,19
-4,12
3,-24
0,-13
-10,8
-13,2
-13,-1
-14,2
-11,38
-7,33
-9,-47
-11,-45
-6,29
-2,37
-3,-13
-5,-30
-7,6
-11,29
-12,-1
-6,-20
-5,12
-7,52
-2,22
4,-43
2,-37
0,-12
-5,-11
-13,-4
-15,0
-11,-9
-10,-20
-9,-2
-3,6
-3,4
-3,0
3,-20
7,3
5,42
3,31
4,1
2,1
1,-6
5,-13
5,-4
3,0
5,9
6,-17
-2,-25
-4,13
1,30
2,24
2,-4
5,-33
5,-7
4,25
7,21
8,-3
7,-28
11,-5
17,19
16,-24
15,-42
15,14
13,42
9,12
9,-1
8,7
7,-12
12,-18
16,-1
13,23
9,13
9,-22
9,3
10,5
18,-22
24,-7
24,-1
25,6
25,14
18,6
17,4
22,-12
23,-9
22,17
27,13
30,1
25,-3
26,7
29,-10
24,-50
22,-16
26,25
26,21
23,12
26,-1
27,4
25,6
28,-7
33,-4
32,-2
32,3
34,6
29,-6
22,-9
24,-8
29,3
29,12
30,4
30,-2
23,9
19,2
27,-29
33,-13
33,11
33,19
34,25
32,21
32,1
32,-37
25,-23
25,10
35,-4
39,-17
35,3
38,32
45,22
43,-17
41,-27
43,-4
40,3
36,1
41,17
43,7
39,-15
40,-1
42,1
39,-3
38,-7
41,-14
40,8
42,11
47,0
43,16
34,12
35,-8
39,-16
37,-14
36,13
35,7
31,-8
34,22
43,2
44,-31
37,-3
40,27
43,5
40,-36
41,-13
47,44
43,34
35,-7
31,-8
27,-1
23,-1
28,3
37,6
41,0
46,-34
49,-45
42,-3
36,15
38,-3
40,-9
41,-9
47,1
50,20
48,17
51,-8
57,-20
57,1
56,26
55,25
47,7
39,-8
43,-6
50,11
50,2
50,-13
47,-6
41,-11
41,-7
49,17
49,23
44,-6
48,-27
49,-2
42,9
40,-1
45,7
42,8
36,6
34,-1
32,-23
31,-9
38,12
41,2
32,1
27,7
32,17
36,24
33,-10
32,-43
31,-27
33,5
38,19
38,12
33,3
35,9
39,5
33,-5
28,8
27,-4
25,-28
23,-13
28,3
29,23
20,23
13,-17
14,-19
17,4
20,11
25,31
26,9
25,-46
26,-33
27,9
23,32
21,35
21,-14
16,-44
12,-1
17,19
17,7
12,-1
11,-2
9,8
2,2
1,-12
5,-5
3,0
1,-10
6,-7
8,19
4,25
3,-3
5,-19
4,-8
5,14
7,15
5,-3
5,-17
7,-19
3,2
-3,17
-3,9
-4,-5
-12,-2
-14,11
-8,4
-7,-7
-7,4
-2,-3
-3,-15
-6,-6
-3,-10
-2,4
-7,22
-8,1
-6,-19
-8,-8
-8,5
-5,13
-7,10
-9,-17
-5,-11
-10,12
-20,3
-22,4
-18,17
-17,-2
-14,-23
-8,-8
-8,2
-12,5
-12,12
-13,7
-15,2
-14,-1
-14,-9
-17,0
-15,5
-12,-5
-19,2
-30,20
-30,18
-25,1
-26,-11
-26,2
-21,10
-22,-10
-22,-18
-21,-19
-27,-27
-31,-20
-26,2
-25,12
-30,3
-28,-7
-19,-3
-16,13
-16,16
-14,4
-14,-11
-17,-13
-18,21
-24,38
-34,-7
-32,-41
-25,-1
-26,33
-27,12
-21,-16
-21,-20
-28,0
-29,6
-28,-6
-31,6
-29,16
-24,5
-25,-6
-28,-8
-27,5
-29,-8
-32,-21
-27,8
-29,13
-42,5
-46,14
-43,-8
-43,-4
-40,13
-35,-15
-37,-4
-41,4
-36,-13
-32,14
-33,21
-30,-13
-27,-20
-31,4
-35,14
-31,13
-32,6
-37,-20
-38,-15
-36,10
-39,15
-40,-4
-39,-24
-44,-12
-45,14
-40,18
-40,6
-41,-1
-37,-13
-33,-11
-35,4
-33,0
-30,-2
-33,3
-34,4
-28,5
-26,14
-29,14
-27,-18
-24,-23
-27,2
-30,10
-28,4
-31,-2
-33,2
-29,0
-28,-8
-28,-1
-25,3
-20,-2
-22,-5
-20,9
-15,15
-17,-8
-20,-11
-20,1
-20,2
-20,-2
-15,-4
-13,-3
-19,-2
-22,17
-19,25
-18,-5
-19,-25
-17,-14
-18,-5
-20,1
-17,12
-13,12
-10,12
-6,3
-4,-20
-8,-12
-11,9
-7,14
-6,4
-8,-10
-4,-1
-1,6
-4,0
-3,-1
0,0
-4,-9
-8,-7
-6,-6
-5,-5
-5,6
3,3
8,5
5,3
7,-3
9,5
4,4
-2,-9
2,-13
8,12
6,15
7,-15
9,-17
7,3
6,13
7,12
1,9
-3,2
0,-10
-2,-16
-2,-1
7,12
11,3
8,2
8,-5
9,-7
5,8
2,-3
3,-5
0,10
-1,18
8,41
13,16
10,-36
10,-23
16,-1
16,1
12,9
10,-1
3,-32
0,-40
7,-22
11,0
11,17
16,14
22,0
22,2
20,12
22,11
24,7
24,-4
26,-11
25,5
21,17
22,3
20,-12
12,-12
8,0
12,9
14,18
16,11
23,-12
26,-10
22,3
21,-10
23,-14
20,5
18,10
19,6
19,-3
18,-4
22,24
25,12
21,-21
19,-8
18,-8
15,-17
14,-1
17,14
17,26
13,14
17,-22
19,-22
14,5
16,13
24,13
26,1
24,-13
24,-3
20,6
15,4
18,0
22,-3
20,4
21,-1
23,-13
18,-11
12,0
13,13
13,1
10,-20
10,-17
11,-4
10,10
15,15
21,1
19,3
17,15
20,3
18,-5
16,-9
19,-10
19,4
17,5
20,2
22,3
18,2
21,5
27,2
25,-8
21,-1
25,4
28,4
26,14
28,9
26,-8
15,-10
9,10
13,10
15,-14
11,-24
7,-20
8,15
13,28
16,3
14,1
8,-2
3,-2
2,9
-2,-5
-3,-5
4,10
8,-6
4,-26
5,-25
9,-7
4,4
-1,9
4,10
3,5
-2,-9
-3,-19
-6,14
-11,30
-7,6
-4,6
-11,12
-14,0
-11,3
-6,-2
-4,-6
-1,2
1,-11
0,-5
2,18
5,9
2,-1
4,-5
8,-18
3,-15
-2,2
4,8
11,11
9,6
6,-2
7,-6
4,-14
6,-9
8,10
2,17
-2,19
5,14
13,-6
18,0
27,1
34,-26
27,-37
16,-38
7,-27
-3,-10
-5,-6
5,-1
10,6
7,6
13,15
19,17
11,0
4,-4
9,6
12,15
10,9
13,8
16,24
21,25
29,12
34,2
31,0
29,1
37,1
43,8
39,11
33,3
33,3
34,2
38,-20
43,-21
44,-1
41,-2
41,1
40,4
39,-5
39,4
36,-4
33,-22
34,0
36,15
34,11
32,0
28,-18
21,-3
15,16
14,4
9,-13
0,-18
-6,-6
-5,7
-7,7
-6,4
2,2
5,-8
0,-8
-3,2
-3,-4
-4,-4
-2,8
2,-2
-4,-13
-7,-8
-3,4
-7,6
-15,-3
-14,1
-14,-8
-21,-25
-26,-10
-22,3
-19,11
-17,22
-11,4
-16,-7
-25,-4
-21,-10
-13,29
-14,42
-18,-13
-27,-42
-43,-30
-49,16
-41,41
-37,13
-38,-5
-38,-14
-41,-17
-44,5
-34,5
-24,-2
-31,-3
-40,-13
-39,5
-41,2
-41,1
-23,25
-7,-5
-16,-20
-27,5
-25,39
-20,53
-16,-12
-12,-59
-15,-30
-19,-5
-9,3
2,-4
0,-24
-4,0
2,41
10,24
11,-17
7,-48
0,-45
-3,24
8,68
21,42
25,8
25,-18
21,-32
12,-27
11,-19
26,10
35,60
25,39
17,-20
15,-51
8,-37
5,30
14,41
17,16
9,-4
-2,-27
-14,-6
-20,-14
-16,-31
-20,24
-36,49
-32,47
-14,39
-13,-28
-21,-51
-13,8
1,37
7,5
7,-36
-3,-51
-18,-34
-27,-45
-22,-31
-13,33
-10,32
-5,18
-6,-10
-15,-9
-16,46
-11,27
-7,1
-5,-28
-9,-29
-13,28
-12,24
-9,-7
-11,-22
-21,-9
-22,40
-13,33
-10,-11
-10,-14
-10,0
-14,1
-21,-2
-17,-7
-10,5
-9,27
-11,-1
-13,-30
-14,-3
-11,20
-11,0
-16,-28
-17,-16
-14,15
-17,9
-23,4
-21,19
-18,7
-21,-1
-19,-6
-14,-25
-15,-19
-19,3
-17,0
-18,-1
-20,8
-17,1
-16,7
-18,5
-11,-12
-4,-5
-9,7
-14,-3
-11,-11
-11,17
-13,19
-10,3
-10,-10
-12,-38
-10,-8
-6,29
-9,11
-15,-4
-18,-23
-22,-26
-26,4
-23,21
-19,28
-21,23
-19,-9
-17,-43
-25,-33
-32,3
-31,15
-33,7
-38,-1
-35,2
-34,17
-38,26
-34,-6
-28,-35
-29,-4
-30,15
-28,7
-31,14
-35,0
-32,-26
-31,-20
-37,0
-38,4
-35,1
-32,1
-29,15
-27,31
-27,-10
-29,-39
-26,-6
-24,16
-28,3
-31,-16
-29,9
-24,43
-17,16
-13,-37
-18,-38
-22,-8
-20,5
-18,13
-22,7
-23,7
-20,19
-22,-14
-23,-30
-19,10
-16,15
-18,0
-18,-9
-21,26
-26,48
-24,-35
-19,-66
-20,-13
-23,31
-20,36
-21,0
-24,-2
